エンジン	an	engine	engines	
演説（えんぜつ）	a	speech	speeches	1
鉛筆（えんぴつ）	a	pencil	pencils	
甥（おい）	a	nephew	nephews	1
オークション	an	auction	auctions	
王様（おうさま）	a	king	kings	
お姫様（ひめさま）	a	queen	queens	
王子（おうじ）	a	prince	princes	
王女（おうじょ）	a	princess	princesses	
横断歩道（おうだんほどう）	a	crosswalk	crosswalks	
嘔吐（おうと）		vomiting		1
応答（おうとう）	a	response	responses	1
オートバイ	an	motor cycle	motor cycles	
オーブン	an	oven	ovens	
オーブントースター	a	toaster oven	toaster ovens	
狼（おおかみ）	a	wolf	wolves	
お菓子（かし）	a	sweet	sweets	
お金（かね）		money		
お金持（かねも）ち	a	rich man	rich men	1
億（おく）	a	billion	billions	1
お酒（さけ）	an	alcoholic drink	alcoholic drinks	
アルコール		alcohol		1
叔父（おじ）	an	uncle	uncles	
おしっこ		pee		
お知（し）らせ	a	notice	notices	
お尻（しり）	a	bottom	bottoms	
お茶（ちゃ）		tea		
夫（おっと）	a	husband	husbands	
お釣（つ）り		change		
お手洗（てあら）い	a	rest room	rest rooms	
お手拭（てふ）き	a	hand towel	hand towels	
お手本（てほん）	an	example	examples	1
音（おと）	a	sound	sounds	
男（おとこ）	a	man	men	
男（おとこ）の子（こ）	a	boy	boys	
落（おと）し物（もの）	a	lost article	lost articles	1
踊（おど）り場（ば）	a	landing	landings	
お腹（なか）	a	belly	bellies	
おなら	a	fart	farts	
おにぎり	a	rice ball	rice balls	
叔母（おば）	an	aunt	aunts	
お風呂（ふろ）	a	bath	baths	
お坊（ぼう）さん	a	monk	monks	1
お祭（まつ）り	a	festival	festivals	
お守（まも）り	an	amulet	amulets	1
お土産（みやげ）	a	souvenir	souvenirs	
オムライス		omelette rice		
オムレツ		omelette		
思（おも）い出（で）	a	memory	memories	
おもちゃ	a	toy	toys	
おもてなし		hospitality		1
重（おも）り	a	weight	weights	1
重（おも）り	a	sinker	sinkers	1
親（おや）	a	parent	parents	
親指（おやゆび）	a	thumb	thumbs	
親指（おやゆび）[足（あし）の）]	a	big toe	big toes	
お湯（ゆ）		hot water		
オリーブオイル		olive oil		
オレンジ	an	orange	oranges	
オレンジジュース		orange juice		
お笑（わら）い		comedy		
お笑（わら）い芸人（げいにん）	a	comedian	comedians	
音楽（おんがく）		music		
音声（おんせい）	a	voice	voices	
音声認識（おんせいにんしき）		voice recognition		1
温泉（おんせん）	a	hot spring	hot springs	
温度（おんど）	a	temperature	temperatures	
女（おんな）	a	woman	women	
女（おんな）の子（こ）	a	girl	girls	
音量（おんりょう）		volume		
カーテン	a	curtain	curtains	
カード	a	card	cards	
カーナビ	a	car navigation system	car navigation systems	1
貝（かい）		shellfish		
会議（かいぎ）	a	meeting	meetings	
会議（かいぎ）	a	conference	conferences	1
会議室（かいぎしつ）	a	meeting room	meeting rooms	
会議室（かいぎしつ）	a	conference room	conference rooms	1
解決策（かいけつさく）	a	solution	solutions	1
会社（かいしゃ）	a	company	companies	
会社員（かいしゃいん）	an	employee	employees	
外出着	an	outfit	outfits	
回線（かいせん）	a	line	lines	1
海産食品（かいさんしょくひん）		seafood		
階段（かいだん）	a	stair	stairs	
買（か）い手（て）	a	buyer	buyers	1
回復（かいふく）	a	recovery	recoveries	1
買（か）い物（もの）		shopping		
ウィンドウショッピング		window shopping		
ネットショッピング		online shopping		
買（か）い物客（ものきゃく）	a	shopper	shoppers	
会話（かいわ）	a	conversation	conversations	
顔（かお）	a	face	faces	
顔色（かおいろ）		complexion		1
加害者（かがいしゃ）	a	perpetrator	perpetrators	1
価格（かかく）	a	price	prices	
科学（かがく）		science		
化学（かがく）		chemistry		
科学者（かがくしゃ）	a	scientist	scientists	
化学者（かがくしゃ）	a	chemist	chemists	
かかと	a	heel	heels	
鏡（かがみ）	a	mirror	mirrors	
牡蠣（かき）	an	oyster	oysters	
鍵（かぎ）	a	key	keys	
請求書（せいきゅうしょ）	an	invoice	invoices	1
隠（かく）し事（ごと）	a	secret	secrets	
学習（がくしゅう）		learning		
学生（がくせい）	a	student	students	
確認（かくにん）	a	confirmation	confirmations	1
学部（がくぶ）	a	department	departments	1
確率（かくりつ）	a	probability	probabilities	1
賭（か）け		gambling		1
家計（かけい）		household costs		1
家計簿（かけいぼ）	a	household account book	household account books	1
過去（かこ）	the	past		
傘（かさ）	an	umbrella	umbrellas	
火災（かさい）	a	fire	fires	1
火事（かじ）	a	fire	fires	
家事（かじ）	the	house work		
加湿器（かしつき）	a	humidifier	humidifiers	1
歌手（かしゅ）	a	singer	singers	
数（かず）	a	number	numbers	
ガス	a	gas	gasses	
ガスコンロ	a	gas stove	gas stoves	
ガスストーブ	a	gas stove	gas stoves	
風（かぜ）	a	wind	winds	
化石（かせき）	a	fossil	fossils	1
画像（がぞう）	an	image	images	
仮想通貨（かそうつうか）		virtual currency		
家族（かぞく）	a	family	families	
ガソリン（がそりん）		gasoline		
