0,0,0
1,1997,23321
2,1998,4059
3,1999,23321
4,2000,4059
5,2001,4059
6,2002,4059
7,2003,35180
8,2004,35180
9,2005,23321
10,2006,4059
11,2007,4059
12,2008,23321
13,2009,4059
14,2010,35180
15,2011,35180
16,2012,23321
17,2013,35180
18,2014,4059
19,2015,23321
20,2016,4059
21,2017,4059
22,2018,35180
23,2019,35180
24,2020,35180
25,2021,23321
26,2022,23321
27,2023,35180
28,2024,4059
29,2025,4357
30,2026,23321
31,2027,4059
32,2028,4059
33,2029,4059
34,2030,35180
35,2031,4059
36,2032,23321
37,2033,23321
38,2034,23321
39,2041,23321
40,2042,4059
41,2043,23321
42,2044,4059
43,2045,35180
44,2046,4059
45,2047,35180
46,2048,4059
47,2049,35180
48,2050,35180
49,2051,35180
50,2052,23321
51,2053,23321
52,2054,23321
53,2055,23321
54,2056,23321
55,2057,35180
56,2058,35180
57,2059,23321
58,2060,35180
59,2061,4059
60,2062,23321
61,2063,23321
62,2064,23321
63,2065,35180
64,2066,35180
65,2067,35180
66,2068,23321
67,2069,23321
68,2070,23321
69,2071,35180
70,2072,35180
71,2073,35180
72,2074,35180
73,2075,23321
74,2076,23321
75,2077,23321
76,2078,4059
77,2079,4059
78,2080,4059
79,2081,23321
80,2082,23321
81,2083,23321
82,2084,23321
83,2085,35180
84,3579,23321
85,3580,4059
86,3581,23321
87,3582,4059
88,3583,4059
89,3584,4059
90,3585,35180
91,3586,35180
92,3587,23321
93,3588,4059
94,3589,4059
95,3590,23321
96,3591,4059
97,3592,35180
98,3593,35180
99,3594,23321
100,3595,35180
101,3596,4059
102,3597,23321
103,3598,4059
104,3599,4059
105,3600,35180
106,3601,35180
107,3602,35180
108,3603,23321
109,3604,23321
110,3605,35180
111,3606,4059
112,3607,4357
113,3608,23321
114,3609,4059
115,3610,4059
116,3611,4059
117,3612,35180
118,3613,4059
119,3614,23321
120,3615,23321
121,3616,23321
122,3623,23321
123,3624,4059
124,3625,23321
125,3626,4059
126,3627,35180
127,3628,4059
128,3629,35180
129,3630,4059
130,3631,35180
131,3632,35180
132,3633,35180
133,3634,23321
134,3635,23321
135,3636,23321
136,3637,23321
137,3638,23321
138,3639,35180
139,3640,35180
140,3641,23321
141,3642,35180
142,3643,4059
143,3644,23321
144,3645,23321
145,3646,23321
146,3647,35180
147,3648,35180
148,3649,35180
149,3650,23321
150,3651,23321
151,3652,23321
152,3653,35180
153,3654,35180
154,3655,35180
155,3656,35180
156,3657,23321
157,3658,23321
158,3659,23321
159,3660,4059
160,3661,4059
161,3662,4059
162,3663,23321
163,3664,23321
164,3665,23321
165,3666,23321
166,3667,35180
