0,0,0
1,90,61921
2,91,61921
3,92,58874
4,93,61917
5,94,59011
6,95,59011
7,96,61621
8,97,61621
9,98,58874
10,99,61917
11,100,61921
12,101,61917
13,102,61621
14,103,61621
15,220,61921
16,221,61921
17,222,58874
18,223,61917
19,224,59011
20,225,59011
21,226,61621
22,227,61621
23,228,58874
24,229,61917
25,230,61921
26,231,61917
27,232,61621
28,233,61621
29,350,61921
30,351,61921
31,352,58874
32,353,61917
33,354,59011
34,355,59011
35,356,61621
36,357,61621
37,358,58874
38,359,61917
39,360,61921
40,361,61917
41,362,61621
42,363,61621
43,480,61921
44,481,61921
45,482,58874
46,483,61917
47,484,59011
48,485,59011
49,486,61621
50,487,61621
51,488,58874
52,489,61917
53,490,61921
54,491,61917
55,492,61621
56,493,61621
57,610,61921
58,611,61921
59,612,58874
60,613,61917
61,614,59011
62,615,59011
63,616,61621
64,617,61621
65,618,58874
66,619,61917
67,620,61921
68,621,61917
69,622,61621
70,623,61621
71,740,61921
72,741,61921
73,742,58874
74,743,61917
75,744,59011
76,745,59011
77,746,61621
78,747,61621
79,748,58874
80,749,61917
81,750,61921
82,751,61917
83,752,61621
84,753,61621
85,870,61921
86,871,61921
87,872,58874
88,873,61917
89,874,59011
90,875,59011
91,876,61621
92,877,61621
93,878,58874
94,879,61917
95,880,61921
96,881,61917
97,882,61621
98,883,61621
99,1000,61921
100,1001,61921
101,1002,58874
102,1003,61917
103,1004,59011
104,1005,59011
105,1006,61621
106,1007,61621
107,1008,58874
108,1009,61917
109,1010,61921
110,1011,61917
111,1012,61621
112,1013,61621
113,1130,61921
114,1131,61921
115,1132,58874
116,1133,61917
117,1134,59011
118,1135,59011
119,1136,61621
120,1137,61621
121,1138,58874
122,1139,61917
123,1140,61921
124,1141,61917
125,1142,61621
126,1143,61621
127,1260,61921
128,1261,61921
129,1262,58874
130,1263,61917
131,1264,59011
132,1265,59011
133,1266,61621
134,1267,61621
135,1268,58874
136,1269,61917
137,1270,61921
138,1271,61917
139,1272,61621
140,1273,61621
141,1390,61921
142,1391,61921
143,1392,58874
144,1393,61917
145,1394,59011
146,1395,59011
147,1396,61621
148,1397,61621
149,1398,58874
150,1399,61917
151,1400,61921
152,1401,61917
153,1402,61621
154,1403,61621
155,1520,61921
156,1521,61921
157,1522,58874
158,1523,61917
159,1524,59011
160,1525,59011
161,1526,61621
162,1527,61621
163,1528,58874
164,1529,61917
165,1530,61921
166,1531,61917
167,1532,61621
168,1533,61621
169,1650,61921
170,1651,61921
171,1652,58874
172,1653,61917
173,1654,59011
174,1655,59011
175,1656,61621
176,1657,61621
177,1658,58874
178,1659,61917
179,1660,61921
180,1661,61917
181,1662,61621
182,1663,61621
183,1780,61921
184,1781,61921
185,1782,58874
186,1783,61917
187,1784,59011
188,1785,59011
189,1786,61621
190,1787,61621
191,1788,58874
192,1789,61917
193,1790,61921
194,1791,61917
195,1792,61621
196,1793,61621
197,1910,61921
198,1911,61921
199,1912,58874
200,1913,61917
201,1914,59011
202,1915,59011
203,1916,61621
204,1917,61621
205,1918,58874
206,1919,61917
207,1920,61921
208,1921,61917
209,1922,61621
210,1923,61621
211,2040,61921
212,2041,61921
213,2042,58874
214,2043,61917
215,2044,59011
216,2045,59011
217,2046,61621
218,2047,61621
219,2048,58874
220,2049,61917
221,2050,61921
222,2051,61917
223,2052,61621
224,2053,61621
225,2170,61921
226,2171,61921
227,2172,58874
228,2173,61917
229,2174,59011
230,2175,59011
231,2176,61621
232,2177,61621
233,2178,58874
234,2179,61917
235,2180,61921
236,2181,61917
237,2182,61621
238,2183,61621
239,2300,61921
240,2301,61921
241,2302,58874
242,2303,61917
243,2304,59011
244,2305,59011
245,2306,61621
246,2307,61621
247,2308,58874
248,2309,61917
249,2310,61921
250,2311,61917
251,2312,61621
252,2313,61621
253,2430,61921
254,2431,61921
255,2432,58874
256,2433,61917
257,2434,59011
258,2435,59011
259,2436,61621
260,2437,61621
261,2438,58874
262,2439,61917
263,2440,61921
264,2441,61917
265,2442,61621
266,2443,61621
267,2560,61921
268,2561,61921
269,2562,58874
270,2563,61917
271,2564,59011
272,2565,59011
273,2566,61621
274,2567,61621
275,2568,58874
276,2569,61917
277,2570,61921
278,2571,61917
279,2572,61621
280,2573,61621
281,2690,61921
282,2691,61921
283,2692,58874
284,2693,61917
285,2694,59011
286,2695,59011
287,2696,61621
288,2697,61621
289,2698,58874
290,2699,61917
291,2700,61921
292,2701,61917
293,2702,61621
294,2703,61621
295,2820,61921
296,2821,61921
297,2822,58874
298,2823,61917
299,2824,59011
300,2825,59011
301,2826,61621
302,2827,61621
303,2828,58874
304,2829,61917
305,2830,61921
306,2831,61917
307,2832,61621
308,2833,61621
309,2950,61921
310,2951,61921
311,2952,58874
312,2953,61917
313,2954,59011
314,2955,59011
315,2956,61621
316,2957,61621
317,2958,58874
318,2959,61917
319,2960,61921
320,2961,61917
321,2962,61621
322,2963,61621
323,3080,61921
324,3081,61921
325,3082,58874
326,3083,61917
327,3084,59011
328,3085,59011
329,3086,61621
330,3087,61621
331,3088,58874
332,3089,61917
333,3090,61921
334,3091,61917
335,3092,61621
336,3093,61621
337,3210,61921
338,3211,61921
339,3212,58874
340,3213,61917
341,3214,59011
342,3215,59011
343,3216,61621
344,3217,61621
345,3218,58874
346,3219,61917
347,3220,61921
348,3221,61917
349,3222,61621
350,3223,61621
351,3340,61921
352,3341,61921
353,3342,58874
354,3343,61917
355,3344,59011
356,3345,59011
357,3346,61621
358,3347,61621
359,3348,58874
360,3349,61917
361,3350,61921
