0,0,0,,0,0
1,3,0,,64705,0
2,2,0,,64707,0
3,1,0,,64709,0
4,2,0,,64710,0
5,2,0,,64714,0
6,2,0,,64718,0
7,2,0,,64720,0
8,3,0,,64721,0
9,3,0,,64724,0
10,3,0,,64725,0
11,3,0,,64728,0
12,3,0,,64729,0
13,2,0,,64730,0
14,2,0,,64731,0
15,3,0,,64732,0
16,3,0,,64733,0
17,3,0,,64735,0
18,3,0,,64736,0
19,1,0,,74685,0
20,1,0,,64751,0
21,2,0,,64755,0
22,2,0,,64756,0
23,2,0,,64759,0
24,2,0,,64760,0
25,3,0,,64765,0
26,2,0,,64767,0
27,1,0,,64769,0
28,3,0,,64770,0
29,1,0,,64773,0
30,2,0,,64777,0
31,3,0,,64778,0
32,3,0,,64779,0
33,3,0,,64780,0
34,2,0,,64781,0
35,1,0,,64782,0
36,1,0,,74686,0
37,2,0,,74687,0
38,2,0,,64797,0
39,2,0,,64798,0
40,3,0,,74688,0
41,2,0,,64801,0
42,2,0,,64804,0
43,3,0,,64805,0
44,2,0,,64810,0
45,2,0,,64812,0
46,3,0,,64814,0
47,1,0,,74689,0
48,2,0,,64818,0
49,2,0,,64823,0
50,2,0,,74690,0
51,2,0,,64825,0
52,2,0,,64827,0
53,2,0,,64828,0
54,2,0,,64829,0
55,2,0,,64830,0
56,3,0,,64831,0
57,2,0,,64835,0
58,2,0,,64836,0
59,2,0,,64837,0
60,2,0,,64839,0
61,2,0,,64840,0
62,2,0,,64843,0
63,1,0,,64848,0
64,3,0,,64850,0
65,3,0,,64851,0
66,3,0,,64852,0
67,3,0,,64853,0
68,2,0,,64854,0
69,2,0,,64855,0
70,2,0,,64856,0
71,1,0,,64857,0
72,3,0,,64858,0
73,1,0,,74691,0
74,2,0,,64862,0
75,3,0,,74692,0
76,1,0,,64870,0
77,1,0,,64871,0
78,2,0,,64872,0
79,2,0,,64835,0
80,2,0,,64879,0
81,3,0,,64880,0
82,1,0,,64882,0
83,3,0,,64884,0
84,2,0,,64893,0
85,2,0,,64894,0
86,2,0,,64895,0
87,3,0,,64897,0
88,2,0,,74693,0
89,2,0,,64907,0
90,2,0,,64911,0
91,1,0,,74694,0
92,2,0,,64915,0
93,2,0,,64918,0
94,2,0,,64919,0
95,2,0,,64920,0
96,2,0,,64921,0
97,1,0,,64922,0
98,1,0,,64923,0
99,1,0,,64924,0
100,2,0,,64928,0
101,2,0,,64930,0
102,2,0,,64931,0
103,2,0,,64935,0
104,3,0,,64936,0
105,2,0,,64940,0
106,1,0,,64943,0
107,2,0,,64947,0
108,2,0,,64949,0
109,2,0,,64950,0
110,3,0,,64955,0
111,3,0,,74695,0
112,2,0,,64960,0
113,2,0,,64964,0
114,2,0,,64965,0
115,2,0,,64970,0
116,2,0,,64978,0
117,2,0,,64985,0
118,2,0,,64988,0
119,3,0,,64994,0
120,1,0,,65004,0
121,2,0,,65010,0
122,3,0,,65013,0
123,1,0,,74696,0
124,2,0,,65018,0
125,1,0,,65021,0
126,1,0,,65032,0
127,1,0,,74697,0
128,1,0,,65033,0
129,2,0,,65045,0
130,1,0,,65048,0
131,2,0,,65052,0
132,3,0,,65060,0
133,1,0,,65062,0
134,2,0,,65066,0
135,3,0,,65068,0
136,2,0,,65077,0
137,2,0,,65081,0
138,2,0,,65082,0
139,2,0,,65083,0
140,2,0,,65084,0
141,3,0,,65085,0
142,3,0,,74698,0
143,2,0,,65090,0
144,2,0,,65092,0
145,1,0,,65093,0
146,1,0,,74699,0
147,2,0,,65096,0
148,3,0,,65099,0
149,3,0,,65101,0
