0,0,0
1,2,95
2,5,68
3,15,86
4,42,2
5,44,68
6,74,72
7,10,72
8,161,75
9,162,27
10,163,95
11,165,95
12,169,68
13,172,79
14,173,70
15,177,82
16,178,87
17,181,96
18,184,8
19,184,8
20,186,95
21,187,27
22,187,27
23,198,92
24,199,92
25,202,27
26,205,85
27,209,89
28,217,85
29,218,94
30,230,85
31,234,68
32,235,68
33,236,83
34,237,71
35,238,78
36,239,74
37,241,68
38,247,95
39,249,89
40,250,89
41,251,68
42,251,68
43,202,27
44,257,68
45,257,1
46,259,84
47,261,95
48,265,66
49,271,81
50,272,77
51,241,68
52,287,76
53,218,94
54,289,94
55,290,69
56,261,95
57,310,2
58,311,2
59,312,95
60,315,66
61,318,86
62,318,81
63,320,95
64,324,2
65,675,3
66,813,92
67,837,2
68,842,3
69,891,2
70,311,78
71,965,95
72,968,68
73,978,86
74,1005,2
75,1007,68
76,1037,72
77,973,72
78,1124,75
79,1125,27
80,1126,95
81,1128,95
82,1132,68
83,1135,79
84,1136,70
85,1140,82
86,1141,87
87,1144,96
88,1147,8
89,1147,8
90,1149,95
91,1150,27
92,1150,27
93,1161,92
94,1162,92
95,1165,27
96,1168,85
97,1172,89
98,1180,85
99,1181,94
100,1193,85
101,1197,68
102,1198,68
103,1199,83
104,1200,71
105,1201,78
106,1202,74
107,1204,68
108,1210,95
109,1212,89
110,1213,89
111,1214,68
112,1214,68
113,1165,27
114,1220,68
115,1220,1
116,1222,84
117,1224,95
118,1228,66
119,1234,81
120,1235,77
121,1204,68
122,1250,76
123,1181,94
124,1252,94
125,1253,69
126,1224,95
127,1273,2
128,926,2
129,1275,95
130,1278,66
131,1281,86
132,1281,81
133,1283,95
134,1287,2
135,926,78
136,1291,95
137,1294,68
138,1304,86
139,1331,2
140,1333,68
141,1363,72
142,1299,72
143,1450,75
144,1451,27
145,1452,95
146,1454,95
147,1458,68
148,1461,79
149,1462,70
150,1466,82
151,1467,87
152,1470,96
153,1473,8
154,1473,8
155,1475,95
156,1476,27
157,1476,27
158,1487,92
159,1488,92
160,1491,27
161,1494,85
162,1498,89
163,1506,85
164,1507,94
165,1519,85
166,1523,68
167,1524,68
168,1525,83
169,1526,71
170,1527,78
171,1528,74
172,1530,68
173,1536,95
174,1538,89
175,1539,89
176,1540,68
177,1540,68
178,1491,27
179,1546,68
180,1546,1
181,1548,84
182,1550,95
183,1554,66
184,1560,81
185,1561,77
186,1530,68
187,1576,76
188,1507,94
189,1578,94
190,1579,69
191,1550,95
192,1599,2
193,1600,2
194,1601,95
195,1604,66
196,1607,86
197,1607,81
198,1609,95
199,1613,2
200,1600,78
201,1638,3
202,1776,92
203,1800,2
204,1805,3
205,1854,2
