	would	would	would	not	feel						くならなかっただろう
	would have	would have	would have		been						かったことだろう
	would not have	would not have	would not have		been						くなかったことだろう
	would have	would have	would have		felt						くなったことだろう
	would not have	would not have	would not have		felt						くならなかったことだろう
	could have	could have	could have		been						かった可能性（かのうせい）がある
	could not have	could not have	could not have		been						かった可能性（かのうせい）はない
	could have	could have	could have		felt						くなった可能性（かのうせい）がある
	could not have	could not have	could not have		felt						くなった可能性（かのうせい）はない
	might have	might have	might have		been						かったかもしれなかった
	might not have	might not have	might not have		been						くなかったかもしれなかった
	might have	might have	might have		felt						くなったかもしれなかった
	might not have	might not have	might not have		felt						くならなかったかもしれなかった
