step-1	pay	pays	pay		attention	to			に	注意（ちゅうい）を払（はら）	う
	have	has	have	been	paying attention	to		（ずっと）	に	注意（ちゅうい）を払（はら）	っ	ている
	have	has	have	not been	paying attention	to		（ずっと）	に	注意（ちゅうい）を払（はら）	っ	ていない
	have	has	have		paid attention	to	already	すでに	に	注意（ちゅうい）を払（はら）	っ	ている
	have	has	have	not	paid attention	to	yet	まだ	に	注意（ちゅうい）を払（はら）	っ	ていない
	had	had	had		paid attention	to	before that	それ以前（いぜん）	に	注意（ちゅうい）を払（はら）	っ	たことがあった
	had	had	had	not	paid attention	to	before that	それ以前（いぜん）	に	注意（ちゅうい）を払（はら）	っ	たことはなかった
	had	had	had	been	paying attention	to	till then	それまでずっと	に	注意（ちゅうい）を払（はら）	っ	ていた
	had	had	had	not been	paying attention	to	till then	それまでずっと	に	注意（ちゅうい）を払（はら）	っ	ていなかった
	had	had	had		paid attention	to	already	すでに	に	注意（ちゅうい）を払（はら）	っ	ていた
	had	had	had	not	paid attention	to	yet	まだ	に	注意（ちゅうい）を払（はら）	っ	ていなかった
	have	has	have	been able to	pay attention	to		（ずっと）	に	注意（ちゅうい）を払（はら）	う	ことができている
	have	has	have	not been able to	pay attention	to	yet	まだ	に	注意（ちゅうい）を払（はら）	う	ことはできていない
	had	had	had	been able to	pay attention	to	till then	それまでずっと	に	注意（ちゅうい）を払（はら）	う	ことができていた
	had	had	had	not been able to	pay attention	to	till then	それまでずっと	に	注意（ちゅうい）を払（はら）	う	ことはできていなかった
step-5	may have	may have	may have		paid attention	to			に	注意（ちゅうい）を払（はら）	っ	たかもしれない
	may not have	may not have	may not have		paid attention	to			に	注意（ちゅうい）を払（はら）	わ	なかったかもしれない
	may have	may have	may have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことはできなかったかもしれない
	must have	must have	must have		paid attention	to			に	注意（ちゅうい）を払（はら）	っ	たにちがいない
	must not have	must not have	must not have		paid attention	to			に	注意（ちゅうい）を払（はら）	わ	なかったにちがいない
	must have	must have	must have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことはできなかったにちがいない
	should have	should have	should have		paid attention	to			に	注意（ちゅうい）を払（はら）	う	ほうがよかった
	should not have	should not have	should not have		paid attention	to			に	注意（ちゅうい）を払（はら）	わ	ないほうがよかった
	should have	should have	should have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことはできなかったはずだ
	can not have	can not have	can not have		paid attention	to			に	注意（ちゅうい）を払（はら）	っ	たはずがない
step-6	would	would	would		pay attention	to			に	注意（ちゅうい）を払（はら）	っ	ただろう
	would	would	would	not	pay attention	to			に	注意（ちゅうい）を払（はら）	わ	なかっただろう
	would	would	would	be able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことができただろう
	would	would	would	not be able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことはできなかっただろう
	would have	would have	would have		paid attention	to			に	注意（ちゅうい）を払（はら）	っ	たことだろう
	would not have	would not have	would not have		paid attention	to			に	注意（ちゅうい）を払（はら）	わ	なかったことだろう
	would have	would have	would have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことはできなかったことだろう
	could have	could have	could have		paid attention	to			に	注意（ちゅうい）を払（はら）	っ	た可能性がある
	could not have	could not have	could not have		paid attention	to			に	注意（ちゅうい）を払（はら）	っ	た可能性はない
	might have	might have	might have		paid attention	to			に	注意（ちゅうい）を払（はら）	っ	たかもしれなかった
	might not have	might not have	might not have		paid attention	to			に	注意（ちゅうい）を払（はら）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	pay attention	to			に	注意（ちゅうい）を払（はら）	う	ことはできなかったかもしれなかった
