step-1	go to bed	goes to bed	go to bed							ベッドに行（い）	く
	must	must	must	be	going to bed					ベッドに行（い）	っ	ているにちがいない
	must	must	must	not be	going to bed					ベッドに行（い）	っ	ていてはいけない
	must	must	must	be able to	go to bed					ベッドに行（い）	く	ことができるにちがいない
	must	must	must	not be able to	go to bed					ベッドに行（い）	く	ことはできてはいけない
	will	will	will	have to	go to bed					ベッドに行（い）	か	なければいけないだろう
	will	will	will	not have to	go to bed					ベッドに行（い）	か	なくてもいいだろう
	will	will	will	have to be	going to bed					ベッドに行（い）	っ	ていなければいけないだろう
	will	will	will	not have to be	going to bed					ベッドに行（い）	っ	ていなくてもいいだろう
	will	will	will	have to be able to	go to bed					ベッドに行（い）	く	ことができなければいけないだろう
	will	will	will	not have to be able to	go to bed					ベッドに行（い）	く	ことはできなくてもいいだろう
	may	may	may	have to	go to bed					ベッドに行（い）	か	なければいけないかもしれない
	may	may	may	not have to	go to bed					ベッドに行（い）	か	なくてもいいかもしれない
	may	may	may	have to be	going to bed					ベッドに行（い）	っ	ていなければいけないかもしれない
	may	may	may	not have to be	going to bed					ベッドに行（い）	っ	ていなくてもいいかもしれない
	may	may	may	have to be able to	go to bed					ベッドに行（い）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	go to bed					ベッドに行（い）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		gone to bed					ベッドに行（い）	っ	たことがある
	have	has	have	not	gone to bed					ベッドに行（い）	っ	たことはない
	have	has	have	been	going to bed			（ずっと）		ベッドに行（い）	っ	ている
	have	has	have	not been	going to bed			（ずっと）		ベッドに行（い）	っ	ていない
	have	has	have		gone to bed		already	すでに		ベッドに行（い）	っ	ている
	have	has	have	not	gone to bed		yet	まだ		ベッドに行（い）	っ	ていない
	had	had	had		gone to bed		before that	それ以前（いぜん）		ベッドに行（い）	っ	たことがあった
	had	had	had	not	gone to bed		before that	それ以前（いぜん）		ベッドに行（い）	っ	たことはなかった
	had	had	had	been	going to bed		till then	それまでずっと		ベッドに行（い）	っ	ていた
	had	had	had	not been	going to bed		till then	それまでずっと		ベッドに行（い）	っ	ていなかった
	had	had	had		gone to bed		already	すでに		ベッドに行（い）	っ	ていた
	had	had	had	not	gone to bed		yet	まだ		ベッドに行（い）	っ	ていなかった
	have	has	have	been able to	go to bed			（ずっと）		ベッドに行（い）	く	ことができている
	have	has	have	not been able to	go to bed		yet	まだ		ベッドに行（い）	く	ことはできていない
	had	had	had	been able to	go to bed		till then	それまでずっと		ベッドに行（い）	く	ことができていた
	had	had	had	not been able to	go to bed		till then	それまでずっと		ベッドに行（い）	く	ことはできていなかった
step-5	may have	may have	may have		gone to bed					ベッドに行（い）	っ	たかもしれない
	may not have	may not have	may not have		gone to bed					ベッドに行（い）	か	なかったかもしれない
	may have	may have	may have	been able to	go to bed					ベッドに行（い）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	go to bed					ベッドに行（い）	く	ことはできなかったかもしれない
	must have	must have	must have		gone to bed					ベッドに行（い）	っ	たにちがいない
	must not have	must not have	must not have		gone to bed					ベッドに行（い）	か	なかったにちがいない
	must have	must have	must have	been able to	go to bed					ベッドに行（い）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	go to bed					ベッドに行（い）	く	ことはできなかったにちがいない
	should have	should have	should have		gone to bed					ベッドに行（い）	く	ほうがよかった
	should not have	should not have	should not have		gone to bed					ベッドに行（い）	か	ないほうがよかった
	should have	should have	should have	been able to	go to bed					ベッドに行（い）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	go to bed					ベッドに行（い）	く	ことはできないほうがよかった
	can not have	can not have	can not have		gone to bed					ベッドに行（い）	っ	たはずがない
step-6	would	would	would		go to bed					ベッドに行（い）	っ	ただろう
	would	would	would	not	go to bed					ベッドに行（い）	か	なかっただろう
	would	would	would	be able to	go to bed					ベッドに行（い）	く	ことができただろう
	would	would	would	not be able to	go to bed					ベッドに行（い）	く	ことはできなかっただろう
	would have	would have	would have		gone to bed					ベッドに行（い）	っ	たことだろう
	would not have	would not have	would not have		gone to bed					ベッドに行（い）	か	なかったことだろう
	would have	would have	would have	been able to	go to bed					ベッドに行（い）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	go to bed					ベッドに行（い）	く	ことはできなかったことだろう
	could have	could have	could have		gone to bed					ベッドに行（い）	っ	た可能性がある
	could not have	could not have	could not have		gone to bed					ベッドに行（い）	っ	た可能性はない
	might have	might have	might have		gone to bed					ベッドに行（い）	っ	たかもしれなかった
	might not have	might not have	might not have		gone to bed					ベッドに行（い）	か	なかったかもしれなかった
	might have	might have	might have	been able to	go to bed					ベッドに行（い）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	go to bed					ベッドに行（い）	く	ことはできなかったかもしれなかった
