	have	has	have	not been	making up for			（ずっと）	を	補（おぎな）	っ	ていない
	have	has	have		made up for		already	すでに	を	補（おぎな）	っ	ている
	have	has	have	not	made up for		yet	まだ	を	補（おぎな）	っ	ていない
	had	had	had		made up for		before that	それ以前（いぜん）	を	補（おぎな）	っ	たことがあった
	had	had	had	not	made up for		before that	それ以前（いぜん）	を	補（おぎな）	っ	たことはなかった
	had	had	had	been	making up for		till then	それまでずっと	を	補（おぎな）	っ	ていた
	had	had	had	not been	making up for		till then	それまでずっと	を	補（おぎな）	っ	ていなかった
	had	had	had		made up for		already	すでに	を	補（おぎな）	っ	ていた
	had	had	had	not	made up for		yet	まだ	を	補（おぎな）	っ	ていなかった
	have	has	have	been able to	make up for			（ずっと）	を	補（おぎな）	う	ことができている
	have	has	have	not been able to	make up for		yet	まだ	を	補（おぎな）	う	ことはできていない
	had	had	had	been able to	make up for		till then	それまでずっと	を	補（おぎな）	う	ことができていた
	had	had	had	not been able to	make up for		till then	それまでずっと	を	補（おぎな）	う	ことはできていなかった
step-5	may have	may have	may have		made up for				を	補（おぎな）	っ	たかもしれない
	may not have	may not have	may not have		made up for				を	補（おぎな）	わ	なかったかもしれない
	may have	may have	may have	been able to	make up for				を	補（おぎな）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	make up for				を	補（おぎな）	う	ことはできなかったかもしれない
	must have	must have	must have		made up for				を	補（おぎな）	っ	たにちがいない
	must not have	must not have	must not have		made up for				を	補（おぎな）	わ	なかったにちがいない
	must have	must have	must have	been able to	make up for				を	補（おぎな）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	make up for				を	補（おぎな）	う	ことはできなかったにちがいない
	should have	should have	should have		made up for				を	補（おぎな）	う	ほうがよかった
	should not have	should not have	should not have		made up for				を	補（おぎな）	わ	ないほうがよかった
	should have	should have	should have	been able to	make up for				を	補（おぎな）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	make up for				を	補（おぎな）	う	ことはできなかったはずだ
	can not have	can not have	can not have		made up for				を	補（おぎな）	っ	たはずがない
step-6	would	would	would		make up for				を	補（おぎな）	っ	ただろう
	would	would	would	not	make up for				を	補（おぎな）	わ	なかっただろう
	would	would	would	be able to	make up for				を	補（おぎな）	う	ことができただろう
	would	would	would	not be able to	make up for				を	補（おぎな）	う	ことはできなかっただろう
	would have	would have	would have		made up for				を	補（おぎな）	っ	たことだろう
	would not have	would not have	would not have		made up for				を	補（おぎな）	わ	なかったことだろう
	would have	would have	would have	been able to	make up for				を	補（おぎな）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	make up for				を	補（おぎな）	う	ことはできなかったことだろう
	could have	could have	could have		made up for				を	補（おぎな）	っ	た可能性がある
	could not have	could not have	could not have		made up for				を	補（おぎな）	っ	た可能性はない
	might have	might have	might have		made up for				を	補（おぎな）	っ	たかもしれなかった
	might not have	might not have	might not have		made up for				を	補（おぎな）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	make up for				を	補（おぎな）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	make up for				を	補（おぎな）	う	ことはできなかったかもしれなかった
