step-1	cry	cries	cry							泣（な）	く
	may not have	may not have	may not have		cried					泣（な）	か	なかったかもしれない
	may have	may have	may have	been able to	cry					泣（な）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	cry					泣（な）	く	ことはできなかったかもしれない
	must have	must have	must have		cried					泣（な）	い	たにちがいない
	must not have	must not have	must not have		cried					泣（な）	か	なかったにちがいない
	must have	must have	must have	been able to	cry					泣（な）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	cry					泣（な）	く	ことはできなかったにちがいない
	should have	should have	should have		cried					泣（な）	く	ほうがよかった
	should not have	should not have	should not have		cried					泣（な）	か	ないほうがよかった
	should have	should have	should have	been able to	cry					泣（な）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	cry					泣（な）	く	ことはできないほうがよかった
	can not have	can not have	can not have		cried					泣（な）	い	たはずがない
step-6	would	would	would		cry					泣（な）	い	ただろう
	would	would	would	not	cry					泣（な）	か	なかっただろう
	would	would	would	be able to	cry					泣（な）	く	ことができただろう
	would	would	would	not be able to	cry					泣（な）	く	ことはできなかっただろう
	would have	would have	would have		cried					泣（な）	い	たことだろう
	would not have	would not have	would not have		cried					泣（な）	か	なかったことだろう
	would have	would have	would have	been able to	cry					泣（な）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	cry					泣（な）	く	ことはできなかったことだろう
	could have	could have	could have		cried					泣（な）	い	た可能性がある
	could not have	could not have	could not have		cried					泣（な）	い	た可能性はない
	might have	might have	might have		cried					泣（な）	い	たかもしれなかった
	might not have	might not have	might not have		cried					泣（な）	か	なかったかもしれなかった
	might have	might have	might have	been able to	cry					泣（な）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	cry					泣（な）	く	ことはできなかったかもしれなかった
