step-1	draw	draws	draw						を	描（えが）	く
	had	had	had	not	drawn		yet	まだ	を	描（えが）	い	ていなかった
	have	has	have	been able to	draw			（ずっと）	を	描（えが）	く	ことができている
	have	has	have	not been able to	draw		yet	まだ	を	描（えが）	く	ことはできていない
	had	had	had	been able to	draw		till then	それまでずっと	を	描（えが）	く	ことができていた
	had	had	had	not been able to	draw		till then	それまでずっと	を	描（えが）	く	ことはできていなかった
step-5	may have	may have	may have		drawn				を	描（えが）	い	たかもしれない
	may not have	may not have	may not have		drawn				を	描（えが）	か	なかったかもしれない
	may have	may have	may have	been able to	draw				を	描（えが）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	draw				を	描（えが）	く	ことはできなかったかもしれない
	must have	must have	must have		drawn				を	描（えが）	い	たにちがいない
	must not have	must not have	must not have		drawn				を	描（えが）	か	なかったにちがいない
	must have	must have	must have	been able to	draw				を	描（えが）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	draw				を	描（えが）	く	ことはできなかったにちがいない
	should have	should have	should have		drawn				を	描（えが）	く	ほうがよかった
	should not have	should not have	should not have		drawn				を	描（えが）	か	ないほうがよかった
	should have	should have	should have	been able to	draw				を	描（えが）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	draw				を	描（えが）	く	ことはできないほうがよかった
	can not have	can not have	can not have		drawn				を	描（えが）	い	たはずがない
step-6	would	would	would		draw				を	描（えが）	い	ただろう
	would	would	would	not	draw				を	描（えが）	か	なかっただろう
	would	would	would	be able to	draw				を	描（えが）	く	ことができただろう
	would	would	would	not be able to	draw				を	描（えが）	く	ことはできなかっただろう
	would have	would have	would have		drawn				を	描（えが）	い	たことだろう
	would not have	would not have	would not have		drawn				を	描（えが）	か	なかったことだろう
	would have	would have	would have	been able to	draw				を	描（えが）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	draw				を	描（えが）	く	ことはできなかったことだろう
	could have	could have	could have		drawn				を	描（えが）	い	た可能性がある
	could not have	could not have	could not have		drawn				を	描（えが）	い	た可能性はない
	might have	might have	might have		drawn				を	描（えが）	い	たかもしれなかった
	might not have	might not have	might not have		drawn				を	描（えが）	か	なかったかもしれなかった
	might have	might have	might have	been able to	draw				を	描（えが）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	draw				を	描（えが）	く	ことはできなかったかもしれなかった
