step-1	hold	holds	hold							（イベントなどを）開（ひら）	く
	may	may	may	not have to	hold					（イベントなどを）開（ひら）	か	なくてもいいかもしれない
	may	may	may	have to be	holding					（イベントなどを）開（ひら）	い	ていなければいけないかもしれない
	may	may	may	not have to be	holding					（イベントなどを）開（ひら）	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	hold					（イベントなどを）開（ひら）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	hold					（イベントなどを）開（ひら）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		held					（イベントなどを）開（ひら）	い	たことがある
	have	has	have	not	held					（イベントなどを）開（ひら）	い	たことはない
	have	has	have	been	holding			（ずっと）		（イベントなどを）開（ひら）	い	ている
	have	has	have	not been	holding			（ずっと）		（イベントなどを）開（ひら）	い	ていない
	have	has	have		held		already	すでに		（イベントなどを）開（ひら）	い	ている
	have	has	have	not	held		yet	まだ		（イベントなどを）開（ひら）	い	ていない
	had	had	had		held		before that	それ以前（いぜん）		（イベントなどを）開（ひら）	い	たことがあった
	had	had	had	not	held		before that	それ以前（いぜん）		（イベントなどを）開（ひら）	い	たことはなかった
	had	had	had	been	holding		till then	それまでずっと		（イベントなどを）開（ひら）	い	ていた
	had	had	had	not been	holding		till then	それまでずっと		（イベントなどを）開（ひら）	い	ていなかった
	had	had	had		held		already	すでに		（イベントなどを）開（ひら）	い	ていた
	had	had	had	not	held		yet	まだ		（イベントなどを）開（ひら）	い	ていなかった
	have	has	have	been able to	hold			（ずっと）		（イベントなどを）開（ひら）	く	ことができている
	have	has	have	not been able to	hold		yet	まだ		（イベントなどを）開（ひら）	く	ことはできていない
	had	had	had	been able to	hold		till then	それまでずっと		（イベントなどを）開（ひら）	く	ことができていた
	had	had	had	not been able to	hold		till then	それまでずっと		（イベントなどを）開（ひら）	く	ことはできていなかった
step-5	may have	may have	may have		held					（イベントなどを）開（ひら）	い	たかもしれない
	may not have	may not have	may not have		held					（イベントなどを）開（ひら）	か	なかったかもしれない
	may have	may have	may have	been able to	hold					（イベントなどを）開（ひら）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	hold					（イベントなどを）開（ひら）	く	ことはできなかったかもしれない
	must have	must have	must have		held					（イベントなどを）開（ひら）	い	たにちがいない
	must not have	must not have	must not have		held					（イベントなどを）開（ひら）	か	なかったにちがいない
	must have	must have	must have	been able to	hold					（イベントなどを）開（ひら）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	hold					（イベントなどを）開（ひら）	く	ことはできなかったにちがいない
	should have	should have	should have		held					（イベントなどを）開（ひら）	く	ほうがよかった
