step-1	get	gets	get		a shot					注射（ちゅうしゃ）してもら	う	
	must	must	must	not be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできてはいけない
	will	will	will	have to	get a shot					注射（ちゅうしゃ）してもら	わ	なければいけないだろう
	will	will	will	not have to	get a shot					注射（ちゅうしゃ）してもら	わ	なくてもいいだろう
	will	will	will	have to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていなければいけないだろう
	will	will	will	not have to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていなくてもいいだろう
	will	will	will	have to be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができなければいけないだろう
	will	will	will	not have to be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなくてもいいだろう
	may	may	may	have to	get a shot					注射（ちゅうしゃ）してもら	わ	なければいけないかもしれない
	may	may	may	not have to	get a shot					注射（ちゅうしゃ）してもら	わ	なくてもいいかもしれない
	may	may	may	have to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていなければいけないかもしれない
	may	may	may	not have to be	getting a shot					注射（ちゅうしゃ）してもら	っ	ていなくてもいいかもしれない
	may	may	may	have to be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができなければいけないかもしれない
	may	may	may	not have to be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなくてもいいかもしれない
step-4	have	has	have		gotten a shot					注射（ちゅうしゃ）してもら	っ	たことがある
	have	has	have	not	gotten a shot					注射（ちゅうしゃ）してもら	っ	たことはない
	have	has	have	been	getting a shot			（ずっと）		注射（ちゅうしゃ）してもら	っ	ている
	have	has	have	not been	getting a shot			（ずっと）		注射（ちゅうしゃ）してもら	っ	ていない
	have	has	have		gotten a shot		already	すでに		注射（ちゅうしゃ）してもら	っ	ている
	have	has	have	not	gotten a shot		yet	まだ		注射（ちゅうしゃ）してもら	っ	ていない
	had	had	had		gotten a shot		before that	それ以前（いぜん）		注射（ちゅうしゃ）してもら	っ	たことがあった
	had	had	had	not	gotten a shot		before that	それ以前（いぜん）		注射（ちゅうしゃ）してもら	っ	たことはなかった
	had	had	had	been	getting a shot		till then	それまでずっと		注射（ちゅうしゃ）してもら	っ	ていた
	had	had	had	not been	getting a shot		till then	それまでずっと		注射（ちゅうしゃ）してもら	っ	ていなかった
	had	had	had		gotten a shot		already	すでに		注射（ちゅうしゃ）してもら	っ	ていた
	had	had	had	not	gotten a shot		yet	まだ		注射（ちゅうしゃ）してもら	っ	ていなかった
	have	has	have	been able to	get a shot			（ずっと）		注射（ちゅうしゃ）してもら	う	ことができている
	have	has	have	not been able to	get a shot		yet	まだ		注射（ちゅうしゃ）してもら	う	ことはできていない
	had	had	had	been able to	get a shot		till then	それまでずっと		注射（ちゅうしゃ）してもら	う	ことができていた
	had	had	had	not been able to	get a shot		till then	それまでずっと		注射（ちゅうしゃ）してもら	う	ことはできていなかった
step-5	may have	may have	may have		gotten a shot					注射（ちゅうしゃ）してもら	っ	たかもしれない
	may not have	may not have	may not have		gotten a shot					注射（ちゅうしゃ）してもら	わ	なかったかもしれない
	may have	may have	may have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなかったかもしれない
	must have	must have	must have		gotten a shot					注射（ちゅうしゃ）してもら	っ	たにちがいない
	must not have	must not have	must not have		gotten a shot					注射（ちゅうしゃ）してもら	わ	なかったにちがいない
	must have	must have	must have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなかったにちがいない
	should have	should have	should have		gotten a shot					注射（ちゅうしゃ）してもら	う	ほうがよかった
	should not have	should not have	should not have		gotten a shot					注射（ちゅうしゃ）してもら	わ	ないほうがよかった
	should have	should have	should have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができたはずだ
	should not have	should not have	should not have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなかったはずだ
	can not have	can not have	can not have		gotten a shot					注射（ちゅうしゃ）してもら	っ	たはずがない
step-6	would	would	would		get a shot					注射（ちゅうしゃ）してもら	っ	ただろう
	would	would	would	not	get a shot					注射（ちゅうしゃ）してもら	わ	なかっただろう
	would	would	would	be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができただろう
	would	would	would	not be able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなかっただろう
	would have	would have	would have		gotten a shot					注射（ちゅうしゃ）してもら	っ	たことだろう
	would not have	would not have	would not have		gotten a shot					注射（ちゅうしゃ）してもら	わ	なかったことだろう
	would have	would have	would have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができたことだろう
	would not have	would not have	would not have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなかったことだろう
	could have	could have	could have		gotten a shot					注射（ちゅうしゃ）してもら	っ	た可能性がある
	could not have	could not have	could not have		gotten a shot					注射（ちゅうしゃ）してもら	っ	た可能性はない
	might have	might have	might have		gotten a shot					注射（ちゅうしゃ）してもら	っ	たかもしれなかった
	might not have	might not have	might not have		gotten a shot					注射（ちゅうしゃ）してもら	わ	なかったかもしれなかった
	might have	might have	might have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	get a shot					注射（ちゅうしゃ）してもら	う	ことはできなかったかもしれなかった
