	had	had	had	not	mentioned		yet	まだ	を	言（い）	っ	ていなかった
	have	has	have	been able to	mention			（ずっと）	を	言（い）	う	ことができている
	have	has	have	not been able to	mention		yet	まだ	を	言（い）	う	ことはできていない
	had	had	had	been able to	mention		till then	それまでずっと	を	言（い）	う	ことができていた
	had	had	had	not been able to	mention		till then	それまでずっと	を	言（い）	う	ことはできていなかった
step-5	may have	may have	may have		mentioned				を	言（い）	っ	たかもしれない
	may not have	may not have	may not have		mentioned				を	言（い）	わ	なかったかもしれない
	may have	may have	may have	been able to	mention				を	言（い）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	mention				を	言（い）	う	ことはできなかったかもしれない
	must have	must have	must have		mentioned				を	言（い）	っ	たにちがいない
	must not have	must not have	must not have		mentioned				を	言（い）	わ	なかったにちがいない
	must have	must have	must have	been able to	mention				を	言（い）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	mention				を	言（い）	う	ことはできなかったにちがいない
	should have	should have	should have		mentioned				を	言（い）	う	ほうがよかった
	should not have	should not have	should not have		mentioned				を	言（い）	わ	ないほうがよかった
	should have	should have	should have	been able to	mention				を	言（い）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	mention				を	言（い）	う	ことはできなかったはずだ
	can not have	can not have	can not have		mentioned				を	言（い）	っ	たはずがない
step-6	would	would	would		mention				を	言（い）	っ	ただろう
	would	would	would	not	mention				を	言（い）	わ	なかっただろう
	would	would	would	be able to	mention				を	言（い）	う	ことができただろう
	would	would	would	not be able to	mention				を	言（い）	う	ことはできなかっただろう
	would have	would have	would have		mentioned				を	言（い）	っ	たことだろう
	would not have	would not have	would not have		mentioned				を	言（い）	わ	なかったことだろう
	would have	would have	would have	been able to	mention				を	言（い）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	mention				を	言（い）	う	ことはできなかったことだろう
	could have	could have	could have		mentioned				を	言（い）	っ	た可能性がある
	could not have	could not have	could not have		mentioned				を	言（い）	っ	た可能性はない
	might have	might have	might have		mentioned				を	言（い）	っ	たかもしれなかった
	might not have	might not have	might not have		mentioned				を	言（い）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	mention				を	言（い）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	mention				を	言（い）	う	ことはできなかったかもしれなかった
