step-1	put	puts	put						を	置（お）	く
	should	should	should	not be able to	put				を	置（お）	く	ことはできるはずがない
	had better	had better	had better		put				を	置（お）	く	べきだ
	had better	had better	had better	not	put				を	置（お）	く	べきではない
	must	must	must		put				を	置（お）	く	にちがいない
	must	must	must	not	put				を	置（お）	い	てはいけない
	must	must	must	be	putting				を	置（お）	い	ているにちがいない
	must	must	must	not be	putting				を	置（お）	い	ていてはいけない
	must	must	must	be able to	put				を	置（お）	く	ことができるにちがいない
	must	must	must	not be able to	put				を	置（お）	く	ことはできてはいけない
	will	will	will	have to	put				を	置（お）	か	なければいけないだろう
	will	will	will	not have to	put				を	置（お）	か	なくてもいいだろう
	will	will	will	have to be	putting				を	置（お）	い	ていなければいけないだろう
	will	will	will	not have to be	putting				を	置（お）	い	ていなくてもいいだろう
	will	will	will	have to be able to	put				を	置（お）	く	ことができなければいけないだろう
	will	will	will	not have to be able to	put				を	置（お）	く	ことはできなくてもいいだろう
	may	may	may	have to	put				を	置（お）	か	なければいけないかもしれない
	may	may	may	not have to	put				を	置（お）	か	なくてもいいかもしれない
	may	may	may	have to be	putting				を	置（お）	い	ていなければいけないかもしれない
	may	may	may	not have to be	putting				を	置（お）	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	put				を	置（お）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	put				を	置（お）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		put				を	置（お）	い	たことがある
	have	has	have	not	put				を	置（お）	い	たことはない
	have	has	have	been	putting			（ずっと）	を	置（お）	い	ている
	have	has	have	not been	putting			（ずっと）	を	置（お）	い	ていない
	have	has	have		put		already	すでに	を	置（お）	い	ている
	have	has	have	not	put		yet	まだ	を	置（お）	い	ていない
	had	had	had		put		before that	それ以前（いぜん）	を	置（お）	い	たことがあった
	had	had	had	not	put		before that	それ以前（いぜん）	を	置（お）	い	たことはなかった
	had	had	had	been	putting		till then	それまでずっと	を	置（お）	い	ていた
	had	had	had	not been	putting		till then	それまでずっと	を	置（お）	い	ていなかった
	had	had	had		put		already	すでに	を	置（お）	い	ていた
	had	had	had	not	put		yet	まだ	を	置（お）	い	ていなかった
	have	has	have	been able to	put			（ずっと）	を	置（お）	く	ことができている
	have	has	have	not been able to	put		yet	まだ	を	置（お）	く	ことはできていない
	had	had	had	been able to	put		till then	それまでずっと	を	置（お）	く	ことができていた
	had	had	had	not been able to	put		till then	それまでずっと	を	置（お）	く	ことはできていなかった
step-5	may have	may have	may have		put				を	置（お）	い	たかもしれない
	may not have	may not have	may not have		put				を	置（お）	か	なかったかもしれない
	may have	may have	may have	been able to	put				を	置（お）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	put				を	置（お）	く	ことはできなかったかもしれない
	must have	must have	must have		put				を	置（お）	い	たにちがいない
	must not have	must not have	must not have		put				を	置（お）	か	なかったにちがいない
	must have	must have	must have	been able to	put				を	置（お）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	put				を	置（お）	く	ことはできなかったにちがいない
	should have	should have	should have		put				を	置（お）	く	ほうがよかった
	should not have	should not have	should not have		put				を	置（お）	か	ないほうがよかった
	should have	should have	should have	been able to	put				を	置（お）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	put				を	置（お）	く	ことはできないほうがよかった
	can not have	can not have	can not have		put				を	置（お）	い	たはずがない
step-6	would	would	would		put				を	置（お）	い	ただろう
	would	would	would	not	put				を	置（お）	か	なかっただろう
	would	would	would	be able to	put				を	置（お）	く	ことができただろう
	would	would	would	not be able to	put				を	置（お）	く	ことはできなかっただろう
	would have	would have	would have		put				を	置（お）	い	たことだろう
	would not have	would not have	would not have		put				を	置（お）	か	なかったことだろう
	would have	would have	would have	been able to	put				を	置（お）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	put				を	置（お）	く	ことはできなかったことだろう
	could have	could have	could have		put				を	置（お）	い	た可能性がある
	could not have	could not have	could not have		put				を	置（お）	い	た可能性はない
	might have	might have	might have		put				を	置（お）	い	たかもしれなかった
	might not have	might not have	might not have		put				を	置（お）	か	なかったかもしれなかった
	might have	might have	might have	been able to	put				を	置（お）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	put				を	置（お）	く	ことはできなかったかもしれなかった
