step-1	go	goes	go			to			に	行（い）	く
	have	has	have	been able to	go	to		（ずっと）	に	行（い）	く	ことができている
	have	has	have	not been able to	go	to	yet	まだ	に	行（い）	く	ことはできていない
	had	had	had	been able to	go	to	till then	それまでずっと	に	行（い）	く	ことができていた
	had	had	had	not been able to	go	to	till then	それまでずっと	に	行（い）	く	ことはできていなかった
step-5	may have	may have	may have		gone	to			に	行（い）	っ	たかもしれない
	may not have	may not have	may not have		gone	to			に	行（い）	か	なかったかもしれない
	may have	may have	may have	been able to	go	to			に	行（い）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	go	to			に	行（い）	く	ことはできなかったかもしれない
	must have	must have	must have		gone	to			に	行（い）	っ	たにちがいない
	must not have	must not have	must not have		gone	to			に	行（い）	か	なかったにちがいない
	must have	must have	must have	been able to	go	to			に	行（い）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	go	to			に	行（い）	く	ことはできなかったにちがいない
	should have	should have	should have		gone	to			に	行（い）	く	ほうがよかった
	should not have	should not have	should not have		gone	to			に	行（い）	か	ないほうがよかった
	should have	should have	should have	been able to	go	to			に	行（い）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	go	to			に	行（い）	く	ことはできないほうがよかった
	can not have	can not have	can not have		gone	to			に	行（い）	っ	たはずがない
step-6	would	would	would		go	to			に	行（い）	っ	ただろう
	would	would	would	not	go	to			に	行（い）	か	なかっただろう
	would	would	would	be able to	go	to			に	行（い）	く	ことができただろう
	would	would	would	not be able to	go	to			に	行（い）	く	ことはできなかっただろう
	would have	would have	would have		gone	to			に	行（い）	っ	たことだろう
	would not have	would not have	would not have		gone	to			に	行（い）	か	なかったことだろう
	would have	would have	would have	been able to	go	to			に	行（い）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	go	to			に	行（い）	く	ことはできなかったことだろう
	could have	could have	could have		gone	to			に	行（い）	っ	た可能性がある
	could not have	could not have	could not have		gone	to			に	行（い）	っ	た可能性はない
	might have	might have	might have		gone	to			に	行（い）	っ	たかもしれなかった
	might not have	might not have	might not have		gone	to			に	行（い）	か	なかったかもしれなかった
	might have	might have	might have	been able to	go	to			に	行（い）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	go	to			に	行（い）	く	ことはできなかったかもしれなかった
