step-1	buy	buys	buy						を	買（か）	う
	have	has	have	not been able to	buy		yet	まだ	を	買（か）	う	ことはできていない
	had	had	had	been able to	buy		till then	それまでずっと	を	買（か）	う	ことができていた
	had	had	had	not been able to	buy		till then	それまでずっと	を	買（か）	う	ことはできていなかった
step-5	may have	may have	may have		bought				を	買（か）	っ	たかもしれない
	may not have	may not have	may not have		bought				を	買（か）	わ	なかったかもしれない
	may have	may have	may have	been able to	buy				を	買（か）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	buy				を	買（か）	う	ことはできなかったかもしれない
	must have	must have	must have		bought				を	買（か）	っ	たにちがいない
	must not have	must not have	must not have		bought				を	買（か）	わ	なかったにちがいない
	must have	must have	must have	been able to	buy				を	買（か）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	buy				を	買（か）	う	ことはできなかったにちがいない
	should have	should have	should have		bought				を	買（か）	う	ほうがよかった
	should not have	should not have	should not have		bought				を	買（か）	わ	ないほうがよかった
	should have	should have	should have	been able to	buy				を	買（か）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	buy				を	買（か）	う	ことはできなかったはずだ
	can not have	can not have	can not have		bought				を	買（か）	っ	たはずがない
step-6	would	would	would		buy				を	買（か）	っ	ただろう
	would	would	would	not	buy				を	買（か）	わ	なかっただろう
	would	would	would	be able to	buy				を	買（か）	う	ことができただろう
	would	would	would	not be able to	buy				を	買（か）	う	ことはできなかっただろう
	would have	would have	would have		bought				を	買（か）	っ	たことだろう
	would not have	would not have	would not have		bought				を	買（か）	わ	なかったことだろう
	would have	would have	would have	been able to	buy				を	買（か）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	buy				を	買（か）	う	ことはできなかったことだろう
	could have	could have	could have		bought				を	買（か）	っ	た可能性がある
	could not have	could not have	could not have		bought				を	買（か）	っ	た可能性はない
	might have	might have	might have		bought				を	買（か）	っ	たかもしれなかった
	might not have	might not have	might not have		bought				を	買（か）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	buy				を	買（か）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	buy				を	買（か）	う	ことはできなかったかもしれなかった
