step-1	brush	brushes	brush		teeth					歯（は）を磨（みが）	く
	will	will	will	not have to be able to	brush teeth					歯（は）を磨（みが）	く	ことはできなくてもいいだろう
	may	may	may	have to	brush teeth					歯（は）を磨（みが）	か	なければいけないかもしれない
	may	may	may	not have to	brush teeth					歯（は）を磨（みが）	か	なくてもいいかもしれない
	may	may	may	have to be	brushing teeth					歯（は）を磨（みが）	い	ていなければいけないかもしれない
	may	may	may	not have to be	brushing teeth					歯（は）を磨（みが）	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	brush teeth					歯（は）を磨（みが）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	brush teeth					歯（は）を磨（みが）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		brushed teeth					歯（は）を磨（みが）	い	たことがある
	have	has	have	not	brushed teeth					歯（は）を磨（みが）	い	たことはない
	have	has	have	been	brushing teeth			（ずっと）		歯（は）を磨（みが）	い	ている
	have	has	have	not been	brushing teeth			（ずっと）		歯（は）を磨（みが）	い	ていない
	have	has	have		brushed teeth		already	すでに		歯（は）を磨（みが）	い	ている
	have	has	have	not	brushed teeth		yet	まだ		歯（は）を磨（みが）	い	ていない
	had	had	had		brushed teeth		before that	それ以前（いぜん）		歯（は）を磨（みが）	い	たことがあった
	had	had	had	not	brushed teeth		before that	それ以前（いぜん）		歯（は）を磨（みが）	い	たことはなかった
	had	had	had	been	brushing teeth		till then	それまでずっと		歯（は）を磨（みが）	い	ていた
	had	had	had	not been	brushing teeth		till then	それまでずっと		歯（は）を磨（みが）	い	ていなかった
	had	had	had		brushed teeth		already	すでに		歯（は）を磨（みが）	い	ていた
	had	had	had	not	brushed teeth		yet	まだ		歯（は）を磨（みが）	い	ていなかった
	have	has	have	been able to	brush teeth			（ずっと）		歯（は）を磨（みが）	く	ことができている
	have	has	have	not been able to	brush teeth		yet	まだ		歯（は）を磨（みが）	く	ことはできていない
	had	had	had	been able to	brush teeth		till then	それまでずっと		歯（は）を磨（みが）	く	ことができていた
	had	had	had	not been able to	brush teeth		till then	それまでずっと		歯（は）を磨（みが）	く	ことはできていなかった
step-5	may have	may have	may have		brushed teeth					歯（は）を磨（みが）	い	たかもしれない
	may not have	may not have	may not have		brushed teeth					歯（は）を磨（みが）	か	なかったかもしれない
	may have	may have	may have	been able to	brush teeth					歯（は）を磨（みが）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	brush teeth					歯（は）を磨（みが）	く	ことはできなかったかもしれない
	must have	must have	must have		brushed teeth					歯（は）を磨（みが）	い	たにちがいない
	must not have	must not have	must not have		brushed teeth					歯（は）を磨（みが）	か	なかったにちがいない
	must have	must have	must have	been able to	brush teeth					歯（は）を磨（みが）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	brush teeth					歯（は）を磨（みが）	く	ことはできなかったにちがいない
	should have	should have	should have		brushed teeth					歯（は）を磨（みが）	く	ほうがよかった
	should not have	should not have	should not have		brushed teeth					歯（は）を磨（みが）	か	ないほうがよかった
	should have	should have	should have	been able to	brush teeth					歯（は）を磨（みが）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	brush teeth					歯（は）を磨（みが）	く	ことはできないほうがよかった
	can not have	can not have	can not have		brushed teeth					歯（は）を磨（みが）	い	たはずがない
step-6	would	would	would		brush teeth					歯（は）を磨（みが）	い	ただろう
	would	would	would	not	brush teeth					歯（は）を磨（みが）	か	なかっただろう
	would	would	would	be able to	brush teeth					歯（は）を磨（みが）	く	ことができただろう
	would	would	would	not be able to	brush teeth					歯（は）を磨（みが）	く	ことはできなかっただろう
	would have	would have	would have		brushed teeth					歯（は）を磨（みが）	い	たことだろう
	would not have	would not have	would not have		brushed teeth					歯（は）を磨（みが）	か	なかったことだろう
	would have	would have	would have	been able to	brush teeth					歯（は）を磨（みが）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	brush teeth					歯（は）を磨（みが）	く	ことはできなかったことだろう
	could have	could have	could have		brushed teeth					歯（は）を磨（みが）	い	た可能性がある
	could not have	could not have	could not have		brushed teeth					歯（は）を磨（みが）	い	た可能性はない
	might have	might have	might have		brushed teeth					歯（は）を磨（みが）	い	たかもしれなかった
	might not have	might not have	might not have		brushed teeth					歯（は）を磨（みが）	か	なかったかもしれなかった
	might have	might have	might have	been able to	brush teeth					歯（は）を磨（みが）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	brush teeth					歯（は）を磨（みが）	く	ことはできなかったかもしれなかった
