step-1	nod	nods	nod							うなず	く
	must have	must have	must have	been able to	nod					うなず	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	nod					うなず	く	ことはできなかったにちがいない
	should have	should have	should have		nodded					うなず	く	ほうがよかった
	should not have	should not have	should not have		nodded					うなず	か	ないほうがよかった
	should have	should have	should have	been able to	nod					うなず	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	nod					うなず	く	ことはできないほうがよかった
	can not have	can not have	can not have		nodded					うなず	い	たはずがない
step-6	would	would	would		nod					うなず	い	ただろう
	would	would	would	not	nod					うなず	か	なかっただろう
	would	would	would	be able to	nod					うなず	く	ことができただろう
	would	would	would	not be able to	nod					うなず	く	ことはできなかっただろう
	would have	would have	would have		nodded					うなず	い	たことだろう
	would not have	would not have	would not have		nodded					うなず	か	なかったことだろう
	would have	would have	would have	been able to	nod					うなず	く	ことができたことだろう
	would not have	would not have	would not have	been able to	nod					うなず	く	ことはできなかったことだろう
	could have	could have	could have		nodded					うなず	い	た可能性がある
	could not have	could not have	could not have		nodded					うなず	い	た可能性はない
	might have	might have	might have		nodded					うなず	い	たかもしれなかった
	might not have	might not have	might not have		nodded					うなず	か	なかったかもしれなかった
	might have	might have	might have	been able to	nod					うなず	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	nod					うなず	く	ことはできなかったかもしれなかった
