	did	did	did	not want to be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできるようになりたくなかった
	have to	has to	have to		take the stairs					階段（かいだん）で行（い）	か	なければいけない
	do	does	do	not have to	take the stairs					階段（かいだん）で行（い）	か	なくてもいい
	have to	has to	have to	be	taking the stairs					階段（かいだん）で行（い）	っ	ていなければいけない
	do	does	do	not have to be	taking the stairs					階段（かいだん）で行（い）	っ	ていなくてもいい
	have to	has to	have to	be able to	take the stairs					階段（かいだん）で行（い）	く	ことができなければいけない
	do	does	do	not have to be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなくてもいい
	had to	had to	had to		take the stairs					階段（かいだん）で行（い）	か	なければいけなかった
	did	did	did	not have to	take the stairs					階段（かいだん）で行（い）	か	なくてもよかった
	had to	had to	had to	be	taking the stairs					階段（かいだん）で行（い）	っ	ていなければいけなかった
	did	did	did	not have to be	taking the stairs					階段（かいだん）で行（い）	っ	ていなくてもよかった
	had to	had to	had to	be able to	take the stairs					階段（かいだん）で行（い）	く	ことができなければいけなかった
	did	did	did	not have to be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなくてもよかった
step-3	will	will	will		take the stairs					階段（かいだん）で行（い）	く	だろう
	will	will	will	not	take the stairs					階段（かいだん）で行（い）	か	ないだろう
	will	will	will	be	taking the stairs					階段（かいだん）で行（い）	っ	ているだろう
	will	will	will	not be	taking the stairs					階段（かいだん）で行（い）	っ	ていないだろう
	will	will	will	be able to	take the stairs					階段（かいだん）で行（い）	く	ことができるだろう
	will	will	will	not be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできないだろう
	may	may	may		take the stairs					階段（かいだん）で行（い）	く	かもしれない
	may	may	may	not	take the stairs					階段（かいだん）で行（い）	か	ないかもしれない
	may	may	may	be	taking the stairs					階段（かいだん）で行（い）	っ	ているかもしれない
	may	may	may	not be	taking the stairs					階段（かいだん）で行（い）	っ	ていないかもしれない
	may	may	may	be able to	take the stairs					階段（かいだん）で行（い）	く	ことができるかもしれない
	may	may	may	not be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできないかもしれない
	can	can	can		take the stairs					階段（かいだん）で行（い）	く	ことができる
	can	can	can	not	take the stairs					階段（かいだん）で行（い）	く	ことはできない
	should	should	should		take the stairs					階段（かいだん）で行（い）	く	ほうがいい
	should	should	should	not	take the stairs					階段（かいだん）で行（い）	か	ないほうがいい
	should	should	should	be	taking the stairs					階段（かいだん）で行（い）	っ	ているほうがいい
	should	should	should	not be	taking the stairs					階段（かいだん）で行（い）	っ	ていないほうがいい
	should	should	should	be able to	take the stairs					階段（かいだん）で行（い）	く	ことができるほうがいい
	should	should	should	not be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできないほうがいい
	should	should	should		take the stairs					階段（かいだん）で行（い）	く	はずだ
	should	should	should	not	take the stairs					階段（かいだん）で行（い）	か	ないはずだ
	should	should	should	be	taking the stairs					階段（かいだん）で行（い）	っ	ているはずだ
	should	should	should	not be	taking the stairs					階段（かいだん）で行（い）	っ	ていないはずだ
	should	should	should	be able to	take the stairs					階段（かいだん）で行（い）	く	ことができるはずだ
	should	should	should	not be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできるはずがない
	had better	had better	had better		take the stairs					階段（かいだん）で行（い）	く	べきだ
	had better	had better	had better	not	take the stairs					階段（かいだん）で行（い）	く	べきではない
	must	must	must		take the stairs					階段（かいだん）で行（い）	く	にちがいない
	must	must	must	not	take the stairs					階段（かいだん）で行（い）	っ	てはいけない
	must	must	must	be	taking the stairs					階段（かいだん）で行（い）	っ	ているにちがいない
	must	must	must	not be	taking the stairs					階段（かいだん）で行（い）	っ	ていてはいけない
	must	must	must	be able to	take the stairs					階段（かいだん）で行（い）	く	ことができるにちがいない
	must	must	must	not be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできてはいけない
	will	will	will	have to	take the stairs					階段（かいだん）で行（い）	か	なければいけないだろう
	will	will	will	not have to	take the stairs					階段（かいだん）で行（い）	か	なくてもいいだろう
	will	will	will	have to be	taking the stairs					階段（かいだん）で行（い）	っ	ていなければいけないだろう
	will	will	will	not have to be	taking the stairs					階段（かいだん）で行（い）	っ	ていなくてもいいだろう
	will	will	will	have to be able to	take the stairs					階段（かいだん）で行（い）	く	ことができなければいけないだろう
	will	will	will	not have to be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなくてもいいだろう
	may	may	may	have to	take the stairs					階段（かいだん）で行（い）	か	なければいけないかもしれない
	may	may	may	not have to	take the stairs					階段（かいだん）で行（い）	か	なくてもいいかもしれない
	may	may	may	have to be	taking the stairs					階段（かいだん）で行（い）	っ	ていなければいけないかもしれない
	may	may	may	not have to be	taking the stairs					階段（かいだん）で行（い）	っ	ていなくてもいいかもしれない
	may	may	may	have to be able to	take the stairs					階段（かいだん）で行（い）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		taken the stairs					階段（かいだん）で行（い）	っ	たことがある
	have	has	have	not	taken the stairs					階段（かいだん）で行（い）	っ	たことはない
	have	has	have	been	taking the stairs			（ずっと）		階段（かいだん）で行（い）	っ	ている
	have	has	have	not been	taking the stairs			（ずっと）		階段（かいだん）で行（い）	っ	ていない
	have	has	have		taken the stairs		already	すでに		階段（かいだん）で行（い）	っ	ている
	have	has	have	not	taken the stairs		yet	まだ		階段（かいだん）で行（い）	っ	ていない
	had	had	had		taken the stairs		before that	それ以前（いぜん）		階段（かいだん）で行（い）	っ	たことがあった
	had	had	had	not	taken the stairs		before that	それ以前（いぜん）		階段（かいだん）で行（い）	っ	たことはなかった
	had	had	had	been	taking the stairs		till then	それまでずっと		階段（かいだん）で行（い）	っ	ていた
	had	had	had	not been	taking the stairs		till then	それまでずっと		階段（かいだん）で行（い）	っ	ていなかった
	had	had	had		taken the stairs		already	すでに		階段（かいだん）で行（い）	っ	ていた
	had	had	had	not	taken the stairs		yet	まだ		階段（かいだん）で行（い）	っ	ていなかった
	have	has	have	been able to	take the stairs			（ずっと）		階段（かいだん）で行（い）	く	ことができている
	have	has	have	not been able to	take the stairs		yet	まだ		階段（かいだん）で行（い）	く	ことはできていない
	had	had	had	been able to	take the stairs		till then	それまでずっと		階段（かいだん）で行（い）	く	ことができていた
	had	had	had	not been able to	take the stairs		till then	それまでずっと		階段（かいだん）で行（い）	く	ことはできていなかった
step-5	may have	may have	may have		taken the stairs					階段（かいだん）で行（い）	っ	たかもしれない
	may not have	may not have	may not have		taken the stairs					階段（かいだん）で行（い）	か	なかったかもしれない
	may have	may have	may have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなかったかもしれない
	must have	must have	must have		taken the stairs					階段（かいだん）で行（い）	っ	たにちがいない
	must not have	must not have	must not have		taken the stairs					階段（かいだん）で行（い）	か	なかったにちがいない
	must have	must have	must have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなかったにちがいない
	should have	should have	should have		taken the stairs					階段（かいだん）で行（い）	く	ほうがよかった
	should not have	should not have	should not have		taken the stairs					階段（かいだん）で行（い）	か	ないほうがよかった
	should have	should have	should have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことはできないほうがよかった
	can not have	can not have	can not have		taken the stairs					階段（かいだん）で行（い）	っ	たはずがない
step-6	would	would	would		take the stairs					階段（かいだん）で行（い）	っ	ただろう
	would	would	would	not	take the stairs					階段（かいだん）で行（い）	か	なかっただろう
	would	would	would	be able to	take the stairs					階段（かいだん）で行（い）	く	ことができただろう
	would	would	would	not be able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなかっただろう
	would have	would have	would have		taken the stairs					階段（かいだん）で行（い）	っ	たことだろう
	would not have	would not have	would not have		taken the stairs					階段（かいだん）で行（い）	か	なかったことだろう
	would have	would have	would have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなかったことだろう
	could have	could have	could have		taken the stairs					階段（かいだん）で行（い）	っ	た可能性がある
	could not have	could not have	could not have		taken the stairs					階段（かいだん）で行（い）	っ	た可能性はない
	might have	might have	might have		taken the stairs					階段（かいだん）で行（い）	っ	たかもしれなかった
	might not have	might not have	might not have		taken the stairs					階段（かいだん）で行（い）	か	なかったかもしれなかった
	might have	might have	might have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	take the stairs					階段（かいだん）で行（い）	く	ことはできなかったかもしれなかった
