step-1	walk	walks	walk							歩（ある）	く
	had	had	had	been able to	walk		till then	それまでずっと		歩（ある）	く	ことができていた
	had	had	had	not been able to	walk		till then	それまでずっと		歩（ある）	く	ことはできていなかった
step-5	may have	may have	may have		walked					歩（ある）	い	たかもしれない
	may not have	may not have	may not have		walked					歩（ある）	か	なかったかもしれない
	may have	may have	may have	been able to	walk					歩（ある）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	walk					歩（ある）	く	ことはできなかったかもしれない
	must have	must have	must have		walked					歩（ある）	い	たにちがいない
	must not have	must not have	must not have		walked					歩（ある）	か	なかったにちがいない
	must have	must have	must have	been able to	walk					歩（ある）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	walk					歩（ある）	く	ことはできなかったにちがいない
	should have	should have	should have		walked					歩（ある）	く	ほうがよかった
	should not have	should not have	should not have		walked					歩（ある）	か	ないほうがよかった
	should have	should have	should have	been able to	walk					歩（ある）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	walk					歩（ある）	く	ことはできないほうがよかった
	can not have	can not have	can not have		walked					歩（ある）	い	たはずがない
step-6	would	would	would		walk					歩（ある）	い	ただろう
	would	would	would	not	walk					歩（ある）	か	なかっただろう
	would	would	would	be able to	walk					歩（ある）	く	ことができただろう
	would	would	would	not be able to	walk					歩（ある）	く	ことはできなかっただろう
	would have	would have	would have		walked					歩（ある）	い	たことだろう
	would not have	would not have	would not have		walked					歩（ある）	か	なかったことだろう
	would have	would have	would have	been able to	walk					歩（ある）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	walk					歩（ある）	く	ことはできなかったことだろう
	could have	could have	could have		walked					歩（ある）	い	た可能性がある
	could not have	could not have	could not have		walked					歩（ある）	い	た可能性はない
	might have	might have	might have		walked					歩（ある）	い	たかもしれなかった
	might not have	might not have	might not have		walked					歩（ある）	か	なかったかもしれなかった
	might have	might have	might have	been able to	walk					歩（ある）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	walk					歩（ある）	く	ことはできなかったかもしれなかった
