	will	will	will	have to	tell a lie	to			に	嘘（うそ）をつ	か	なければいけないだろう
	will	will	will	not have to	tell a lie	to			に	嘘（うそ）をつ	か	なくてもいいだろう
	will	will	will	have to be	telling a lie	to			に	嘘（うそ）をつ	い	ていなければいけないだろう
	will	will	will	not have to be	telling a lie	to			に	嘘（うそ）をつ	い	ていなくてもいいだろう
	will	will	will	have to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができなければいけないだろう
	will	will	will	not have to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなくてもいいだろう
	may	may	may	have to	tell a lie	to			に	嘘（うそ）をつ	か	なければいけないかもしれない
	may	may	may	not have to	tell a lie	to			に	嘘（うそ）をつ	か	なくてもいいかもしれない
	may	may	may	have to be	telling a lie	to			に	嘘（うそ）をつ	い	ていなければいけないかもしれない
	may	may	may	not have to be	telling a lie	to			に	嘘（うそ）をつ	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなくてもいいかもしれない
step-4	have	has	have		told a lie	to			に	嘘（うそ）をつ	い	たことがある
	have	has	have	not	told a lie	to			に	嘘（うそ）をつ	い	たことはない
	have	has	have	been	telling a lie	to		（ずっと）	に	嘘（うそ）をつ	い	ている
	have	has	have	not been	telling a lie	to		（ずっと）	に	嘘（うそ）をつ	い	ていない
	have	has	have		told a lie	to	already	すでに	に	嘘（うそ）をつ	い	ている
	have	has	have	not	told a lie	to	yet	まだ	に	嘘（うそ）をつ	い	ていない
	had	had	had		told a lie	to	before that	それ以前（いぜん）	に	嘘（うそ）をつ	い	たことがあった
	had	had	had	not	told a lie	to	before that	それ以前（いぜん）	に	嘘（うそ）をつ	い	たことはなかった
	had	had	had	been	telling a lie	to	till then	それまでずっと	に	嘘（うそ）をつ	い	ていた
	had	had	had	not been	telling a lie	to	till then	それまでずっと	に	嘘（うそ）をつ	い	ていなかった
	had	had	had		told a lie	to	already	すでに	に	嘘（うそ）をつ	い	ていた
	had	had	had	not	told a lie	to	yet	まだ	に	嘘（うそ）をつ	い	ていなかった
