step-1	paint	paints	paint						を	絵（え）の具（ぐ）で描（か）	く
	must	must	must	not be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていてはいけない
	must	must	must	be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができるにちがいない
	must	must	must	not be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできてはいけない
	will	will	will	have to	paint				を	絵（え）の具（ぐ）で描（か）	か	なければいけないだろう
	will	will	will	not have to	paint				を	絵（え）の具（ぐ）で描（か）	か	なくてもいいだろう
	will	will	will	have to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなければいけないだろう
	will	will	will	not have to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなくてもいいだろう
	will	will	will	have to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができなければいけないだろう
	will	will	will	not have to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなくてもいいだろう
	may	may	may	have to	paint				を	絵（え）の具（ぐ）で描（か）	か	なければいけないかもしれない
	may	may	may	not have to	paint				を	絵（え）の具（ぐ）で描（か）	か	なくてもいいかもしれない
	may	may	may	have to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなければいけないかもしれない
	may	may	may	not have to be	painting				を	絵（え）の具（ぐ）で描（か）	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		painted				を	絵（え）の具（ぐ）で描（か）	い	たことがある
	have	has	have	not	painted				を	絵（え）の具（ぐ）で描（か）	い	たことはない
	have	has	have	been	painting			（ずっと）	を	絵（え）の具（ぐ）で描（か）	い	ている
	have	has	have	not been	painting			（ずっと）	を	絵（え）の具（ぐ）で描（か）	い	ていない
	have	has	have		painted		already	すでに	を	絵（え）の具（ぐ）で描（か）	い	ている
	have	has	have	not	painted		yet	まだ	を	絵（え）の具（ぐ）で描（か）	い	ていない
	had	had	had		painted		before that	それ以前（いぜん）	を	絵（え）の具（ぐ）で描（か）	い	たことがあった
	had	had	had	not	painted		before that	それ以前（いぜん）	を	絵（え）の具（ぐ）で描（か）	い	たことはなかった
	had	had	had	been	painting		till then	それまでずっと	を	絵（え）の具（ぐ）で描（か）	い	ていた
	had	had	had	not been	painting		till then	それまでずっと	を	絵（え）の具（ぐ）で描（か）	い	ていなかった
	had	had	had		painted		already	すでに	を	絵（え）の具（ぐ）で描（か）	い	ていた
	had	had	had	not	painted		yet	まだ	を	絵（え）の具（ぐ）で描（か）	い	ていなかった
	have	has	have	been able to	paint			（ずっと）	を	絵（え）の具（ぐ）で描（か）	く	ことができている
	have	has	have	not been able to	paint		yet	まだ	を	絵（え）の具（ぐ）で描（か）	く	ことはできていない
	had	had	had	been able to	paint		till then	それまでずっと	を	絵（え）の具（ぐ）で描（か）	く	ことができていた
	had	had	had	not been able to	paint		till then	それまでずっと	を	絵（え）の具（ぐ）で描（か）	く	ことはできていなかった
step-5	may have	may have	may have		painted				を	絵（え）の具（ぐ）で描（か）	い	たかもしれない
	may not have	may not have	may not have		painted				を	絵（え）の具（ぐ）で描（か）	か	なかったかもしれない
	may have	may have	may have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなかったかもしれない
	must have	must have	must have		painted				を	絵（え）の具（ぐ）で描（か）	い	たにちがいない
	must not have	must not have	must not have		painted				を	絵（え）の具（ぐ）で描（か）	か	なかったにちがいない
	must have	must have	must have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなかったにちがいない
	should have	should have	should have		painted				を	絵（え）の具（ぐ）で描（か）	く	ほうがよかった
	should not have	should not have	should not have		painted				を	絵（え）の具（ぐ）で描（か）	か	ないほうがよかった
	should have	should have	should have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできないほうがよかった
	can not have	can not have	can not have		painted				を	絵（え）の具（ぐ）で描（か）	い	たはずがない
step-6	would	would	would		paint				を	絵（え）の具（ぐ）で描（か）	い	ただろう
	would	would	would	not	paint				を	絵（え）の具（ぐ）で描（か）	か	なかっただろう
	would	would	would	be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができただろう
	would	would	would	not be able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなかっただろう
	would have	would have	would have		painted				を	絵（え）の具（ぐ）で描（か）	い	たことだろう
	would not have	would not have	would not have		painted				を	絵（え）の具（ぐ）で描（か）	か	なかったことだろう
	would have	would have	would have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなかったことだろう
	could have	could have	could have		painted				を	絵（え）の具（ぐ）で描（か）	い	た可能性がある
	could not have	could not have	could not have		painted				を	絵（え）の具（ぐ）で描（か）	い	た可能性はない
	might have	might have	might have		painted				を	絵（え）の具（ぐ）で描（か）	い	たかもしれなかった
	might not have	might not have	might not have		painted				を	絵（え）の具（ぐ）で描（か）	か	なかったかもしれなかった
	might have	might have	might have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	paint				を	絵（え）の具（ぐ）で描（か）	く	ことはできなかったかもしれなかった
