step-1	see	sees	see						と	会（あ）	う
	had	had	had	not	seen		yet	まだ	と	会（あ）	っ	ていなかった
	have	has	have	been able to	see			（ずっと）	と	会（あ）	う	ことができている
	have	has	have	not been able to	see		yet	まだ	と	会（あ）	う	ことはできていない
	had	had	had	been able to	see		till then	それまでずっと	と	会（あ）	う	ことができていた
	had	had	had	not been able to	see		till then	それまでずっと	と	会（あ）	う	ことはできていなかった
step-5	may have	may have	may have		seen				と	会（あ）	っ	たかもしれない
	may not have	may not have	may not have		seen				と	会（あ）	わ	なかったかもしれない
	may have	may have	may have	been able to	see				と	会（あ）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	see				と	会（あ）	う	ことはできなかったかもしれない
	must have	must have	must have		seen				と	会（あ）	っ	たにちがいない
	must not have	must not have	must not have		seen				と	会（あ）	わ	なかったにちがいない
	must have	must have	must have	been able to	see				と	会（あ）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	see				と	会（あ）	う	ことはできなかったにちがいない
	should have	should have	should have		seen				と	会（あ）	う	ほうがよかった
	should not have	should not have	should not have		seen				と	会（あ）	わ	ないほうがよかった
	should have	should have	should have	been able to	see				と	会（あ）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	see				と	会（あ）	う	ことはできなかったはずだ
	can not have	can not have	can not have		seen				と	会（あ）	っ	たはずがない
step-6	would	would	would		see				と	会（あ）	っ	ただろう
	would	would	would	not	see				と	会（あ）	わ	なかっただろう
	would	would	would	be able to	see				と	会（あ）	う	ことができただろう
	would	would	would	not be able to	see				と	会（あ）	う	ことはできなかっただろう
	would have	would have	would have		seen				と	会（あ）	っ	たことだろう
	would not have	would not have	would not have		seen				と	会（あ）	わ	なかったことだろう
	would have	would have	would have	been able to	see				と	会（あ）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	see				と	会（あ）	う	ことはできなかったことだろう
	could have	could have	could have		seen				と	会（あ）	っ	た可能性がある
	could not have	could not have	could not have		seen				と	会（あ）	っ	た可能性はない
	might have	might have	might have		seen				と	会（あ）	っ	たかもしれなかった
	might not have	might not have	might not have		seen				と	会（あ）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	see				と	会（あ）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	see				と	会（あ）	う	ことはできなかったかもしれなかった
