step-1	bake	bakes	bake						を	焼（や）	く
	have	has	have	been able to	bake			（ずっと）	を	焼（や）	く	ことができている
	have	has	have	not been able to	bake		yet	まだ	を	焼（や）	く	ことはできていない
	had	had	had	been able to	bake		till then	それまでずっと	を	焼（や）	く	ことができていた
	had	had	had	not been able to	bake		till then	それまでずっと	を	焼（や）	く	ことはできていなかった
step-5	may have	may have	may have		baked				を	焼（や）	い	たかもしれない
	may not have	may not have	may not have		baked				を	焼（や）	か	なかったかもしれない
	may have	may have	may have	been able to	bake				を	焼（や）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	bake				を	焼（や）	く	ことはできなかったかもしれない
	must have	must have	must have		baked				を	焼（や）	い	たにちがいない
	must not have	must not have	must not have		baked				を	焼（や）	か	なかったにちがいない
	must have	must have	must have	been able to	bake				を	焼（や）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	bake				を	焼（や）	く	ことはできなかったにちがいない
	should have	should have	should have		baked				を	焼（や）	く	ほうがよかった
	should not have	should not have	should not have		baked				を	焼（や）	か	ないほうがよかった
	should have	should have	should have	been able to	bake				を	焼（や）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	bake				を	焼（や）	く	ことはできないほうがよかった
	can not have	can not have	can not have		baked				を	焼（や）	い	たはずがない
step-6	would	would	would		bake				を	焼（や）	い	ただろう
	would	would	would	not	bake				を	焼（や）	か	なかっただろう
	would	would	would	be able to	bake				を	焼（や）	く	ことができただろう
	would	would	would	not be able to	bake				を	焼（や）	く	ことはできなかっただろう
	would have	would have	would have		baked				を	焼（や）	い	たことだろう
	would not have	would not have	would not have		baked				を	焼（や）	か	なかったことだろう
	would have	would have	would have	been able to	bake				を	焼（や）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	bake				を	焼（や）	く	ことはできなかったことだろう
	could have	could have	could have		baked				を	焼（や）	い	た可能性がある
	could not have	could not have	could not have		baked				を	焼（や）	い	た可能性はない
	might have	might have	might have		baked				を	焼（や）	い	たかもしれなかった
	might not have	might not have	might not have		baked				を	焼（や）	か	なかったかもしれなかった
	might have	might have	might have	been able to	bake				を	焼（や）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	bake				を	焼（や）	く	ことはできなかったかもしれなかった
