step-1	throw	throws	throw		up					吐（は）	く
	have	has	have	not been able to	throw up		yet	まだ		吐（は）	く	ことはできていない
	had	had	had	been able to	throw up		till then	それまでずっと		吐（は）	く	ことができていた
	had	had	had	not been able to	throw up		till then	それまでずっと		吐（は）	く	ことはできていなかった
step-5	may have	may have	may have		thrown up					吐（は）	い	たかもしれない
	may not have	may not have	may not have		thrown up					吐（は）	か	なかったかもしれない
	may have	may have	may have	been able to	throw up					吐（は）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	throw up					吐（は）	く	ことはできなかったかもしれない
	must have	must have	must have		thrown up					吐（は）	い	たにちがいない
	must not have	must not have	must not have		thrown up					吐（は）	か	なかったにちがいない
	must have	must have	must have	been able to	throw up					吐（は）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	throw up					吐（は）	く	ことはできなかったにちがいない
	should have	should have	should have		thrown up					吐（は）	く	ほうがよかった
	should not have	should not have	should not have		thrown up					吐（は）	か	ないほうがよかった
	should have	should have	should have	been able to	throw up					吐（は）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	throw up					吐（は）	く	ことはできないほうがよかった
	can not have	can not have	can not have		thrown up					吐（は）	い	たはずがない
step-6	would	would	would		throw up					吐（は）	い	ただろう
	would	would	would	not	throw up					吐（は）	か	なかっただろう
	would	would	would	be able to	throw up					吐（は）	く	ことができただろう
	would	would	would	not be able to	throw up					吐（は）	く	ことはできなかっただろう
	would have	would have	would have		thrown up					吐（は）	い	たことだろう
	would not have	would not have	would not have		thrown up					吐（は）	か	なかったことだろう
	would have	would have	would have	been able to	throw up					吐（は）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	throw up					吐（は）	く	ことはできなかったことだろう
	could have	could have	could have		thrown up					吐（は）	い	た可能性がある
	could not have	could not have	could not have		thrown up					吐（は）	い	た可能性はない
	might have	might have	might have		thrown up					吐（は）	い	たかもしれなかった
	might not have	might not have	might not have		thrown up					吐（は）	か	なかったかもしれなかった
	might have	might have	might have	been able to	throw up					吐（は）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	throw up					吐（は）	く	ことはできなかったかもしれなかった
