step-1	smoke	smokes	smoke							たばこを吸（す）	う
	must not have	must not have	must not have		smoked					たばこを吸（す）	わ	なかったにちがいない
	must have	must have	must have	been able to	smoke					たばこを吸（す）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	smoke					たばこを吸（す）	う	ことはできなかったにちがいない
	should have	should have	should have		smoked					たばこを吸（す）	う	ほうがよかった
	should not have	should not have	should not have		smoked					たばこを吸（す）	わ	ないほうがよかった
	should have	should have	should have	been able to	smoke					たばこを吸（す）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	smoke					たばこを吸（す）	う	ことはできなかったはずだ
	can not have	can not have	can not have		smoked					たばこを吸（す）	っ	たはずがない
step-6	would	would	would		smoke					たばこを吸（す）	っ	ただろう
	would	would	would	not	smoke					たばこを吸（す）	わ	なかっただろう
	would	would	would	be able to	smoke					たばこを吸（す）	う	ことができただろう
	would	would	would	not be able to	smoke					たばこを吸（す）	う	ことはできなかっただろう
	would have	would have	would have		smoked					たばこを吸（す）	っ	たことだろう
	would not have	would not have	would not have		smoked					たばこを吸（す）	わ	なかったことだろう
	would have	would have	would have	been able to	smoke					たばこを吸（す）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	smoke					たばこを吸（す）	う	ことはできなかったことだろう
	could have	could have	could have		smoked					たばこを吸（す）	っ	た可能性がある
	could not have	could not have	could not have		smoked					たばこを吸（す）	っ	た可能性はない
	might have	might have	might have		smoked					たばこを吸（す）	っ	たかもしれなかった
	might not have	might not have	might not have		smoked					たばこを吸（す）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	smoke					たばこを吸（す）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	smoke					たばこを吸（す）	う	ことはできなかったかもしれなかった
