step-1	hire	hires	hire						を	雇（やと）	う
	had	had	had	not	hired		before that	それ以前（いぜん）	を	雇（やと）	っ	たことはなかった
	had	had	had	been	hiring		till then	それまでずっと	を	雇（やと）	っ	ていた
	had	had	had	not been	hiring		till then	それまでずっと	を	雇（やと）	っ	ていなかった
	had	had	had		hired		already	すでに	を	雇（やと）	っ	ていた
	had	had	had	not	hired		yet	まだ	を	雇（やと）	っ	ていなかった
	have	has	have	been able to	hire			（ずっと）	を	雇（やと）	う	ことができている
	have	has	have	not been able to	hire		yet	まだ	を	雇（やと）	う	ことはできていない
	had	had	had	been able to	hire		till then	それまでずっと	を	雇（やと）	う	ことができていた
	had	had	had	not been able to	hire		till then	それまでずっと	を	雇（やと）	う	ことはできていなかった
step-5	may have	may have	may have		hired				を	雇（やと）	っ	たかもしれない
	may not have	may not have	may not have		hired				を	雇（やと）	わ	なかったかもしれない
	may have	may have	may have	been able to	hire				を	雇（やと）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	hire				を	雇（やと）	う	ことはできなかったかもしれない
	must have	must have	must have		hired				を	雇（やと）	っ	たにちがいない
	must not have	must not have	must not have		hired				を	雇（やと）	わ	なかったにちがいない
	must have	must have	must have	been able to	hire				を	雇（やと）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	hire				を	雇（やと）	う	ことはできなかったにちがいない
	should have	should have	should have		hired				を	雇（やと）	う	ほうがよかった
	should not have	should not have	should not have		hired				を	雇（やと）	わ	ないほうがよかった
	should have	should have	should have	been able to	hire				を	雇（やと）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	hire				を	雇（やと）	う	ことはできなかったはずだ
	can not have	can not have	can not have		hired				を	雇（やと）	っ	たはずがない
step-6	would	would	would		hire				を	雇（やと）	っ	ただろう
	would	would	would	not	hire				を	雇（やと）	わ	なかっただろう
	would	would	would	be able to	hire				を	雇（やと）	う	ことができただろう
	would	would	would	not be able to	hire				を	雇（やと）	う	ことはできなかっただろう
	would have	would have	would have		hired				を	雇（やと）	っ	たことだろう
	would not have	would not have	would not have		hired				を	雇（やと）	わ	なかったことだろう
	would have	would have	would have	been able to	hire				を	雇（やと）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	hire				を	雇（やと）	う	ことはできなかったことだろう
	could have	could have	could have		hired				を	雇（やと）	っ	た可能性がある
	could not have	could not have	could not have		hired				を	雇（やと）	っ	た可能性はない
	might have	might have	might have		hired				を	雇（やと）	っ	たかもしれなかった
	might not have	might not have	might not have		hired				を	雇（やと）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	hire				を	雇（やと）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	hire				を	雇（やと）	う	ことはできなかったかもしれなかった
