step-1	rinse	rinses	rinse						を	ゆす	ぐ
	had	had	had	not	rinsed		before that	それ以前（いぜん）	を	ゆす	い	だことはなかった
	had	had	had	been	rinsing		till then	それまでずっと	を	ゆす	い	でいた
	had	had	had	not been	rinsing		till then	それまでずっと	を	ゆす	い	でいなかった
	had	had	had		rinsed		already	すでに	を	ゆす	い	でいた
	had	had	had	not	rinsed		yet	まだ	を	ゆす	い	でいなかった
	have	has	have	been able to	rinse			（ずっと）	を	ゆす	ぐ	ことができている
	have	has	have	not been able to	rinse		yet	まだ	を	ゆす	ぐ	ことはできていない
	had	had	had	been able to	rinse		till then	それまでずっと	を	ゆす	ぐ	ことができていた
	had	had	had	not been able to	rinse		till then	それまでずっと	を	ゆす	ぐ	ことはできていなかった
step-5	may have	may have	may have		rinsed				を	ゆす	い	だかもしれない
	may not have	may not have	may not have		rinsed				を	ゆす	が	なかったかもしれない
	may have	may have	may have	been able to	rinse				を	ゆす	ぐ	ことができたかもしれない
	may not have	may not have	may not have	been able to	rinse				を	ゆす	ぐ	ことはできなかったかもしれない
	must have	must have	must have		rinsed				を	ゆす	い	だにちがいない
	must not have	must not have	must not have		rinsed				を	ゆす	が	なかったにちがいない
	must have	must have	must have	been able to	rinse				を	ゆす	ぐ	ことができたにちがいない
	must not have	must not have	must not have	been able to	rinse				を	ゆす	ぐ	ことはできなかったにちがいない
	should have	should have	should have		rinsed				を	ゆす	ぐ	ほうがよかった
	should not have	should not have	should not have		rinsed				を	ゆす	が	ないほうがよかった
	should have	should have	should have	been able to	rinse				を	ゆす	ぐ	ことができるほうがよかった
	should not have	should not have	should not have	been able to	rinse				を	ゆす	ぐ	ことはできないほうがよかった
	can not have	can not have	can not have		rinsed				を	ゆす	い	だはずがない
step-6	would	would	would		rinse				を	ゆす	い	だだろう
	would	would	would	not	rinse				を	ゆす	が	なかっただろう
	would	would	would	be able to	rinse				を	ゆす	ぐ	ことができただろう
	would	would	would	not be able to	rinse				を	ゆす	ぐ	ことはできなかっただろう
	would have	would have	would have		rinsed				を	ゆす	い	だことだろう
	would not have	would not have	would not have		rinsed				を	ゆす	が	なかったことだろう
	would have	would have	would have	been able to	rinse				を	ゆす	ぐ	ことができたことだろう
	would not have	would not have	would not have	been able to	rinse				を	ゆす	ぐ	ことはできなかったことだろう
	could have	could have	could have		rinsed				を	ゆす	い	だ可能性がある
	could not have	could not have	could not have		rinsed				を	ゆす	い	だ可能性はない
	might have	might have	might have		rinsed				を	ゆす	い	だかもしれなかった
	might not have	might not have	might not have		rinsed				を	ゆす	が	なかったかもしれなかった
	might have	might have	might have	been able to	rinse				を	ゆす	ぐ	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	rinse				を	ゆす	ぐ	ことはできなかったかもしれなかった
