step-1	wash	washes	wash						を	洗（あら）	う
	had	had	had	been	washing		till then	それまでずっと	を	洗（あら）	っ	ていた
	had	had	had	not been	washing		till then	それまでずっと	を	洗（あら）	っ	ていなかった
	had	had	had		washed		already	すでに	を	洗（あら）	っ	ていた
	had	had	had	not	washed		yet	まだ	を	洗（あら）	っ	ていなかった
	have	has	have	been able to	wash			（ずっと）	を	洗（あら）	う	ことができている
	have	has	have	not been able to	wash		yet	まだ	を	洗（あら）	う	ことはできていない
	had	had	had	been able to	wash		till then	それまでずっと	を	洗（あら）	う	ことができていた
	had	had	had	not been able to	wash		till then	それまでずっと	を	洗（あら）	う	ことはできていなかった
step-5	may have	may have	may have		washed				を	洗（あら）	っ	たかもしれない
	may not have	may not have	may not have		washed				を	洗（あら）	わ	なかったかもしれない
	may have	may have	may have	been able to	wash				を	洗（あら）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	wash				を	洗（あら）	う	ことはできなかったかもしれない
	must have	must have	must have		washed				を	洗（あら）	っ	たにちがいない
	must not have	must not have	must not have		washed				を	洗（あら）	わ	なかったにちがいない
	must have	must have	must have	been able to	wash				を	洗（あら）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	wash				を	洗（あら）	う	ことはできなかったにちがいない
	should have	should have	should have		washed				を	洗（あら）	う	ほうがよかった
	should not have	should not have	should not have		washed				を	洗（あら）	わ	ないほうがよかった
	should have	should have	should have	been able to	wash				を	洗（あら）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	wash				を	洗（あら）	う	ことはできなかったはずだ
	can not have	can not have	can not have		washed				を	洗（あら）	っ	たはずがない
step-6	would	would	would		wash				を	洗（あら）	っ	ただろう
	would	would	would	not	wash				を	洗（あら）	わ	なかっただろう
	would	would	would	be able to	wash				を	洗（あら）	う	ことができただろう
	would	would	would	not be able to	wash				を	洗（あら）	う	ことはできなかっただろう
	would have	would have	would have		washed				を	洗（あら）	っ	たことだろう
	would not have	would not have	would not have		washed				を	洗（あら）	わ	なかったことだろう
	would have	would have	would have	been able to	wash				を	洗（あら）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	wash				を	洗（あら）	う	ことはできなかったことだろう
	could have	could have	could have		washed				を	洗（あら）	っ	た可能性がある
	could not have	could not have	could not have		washed				を	洗（あら）	っ	た可能性はない
	might have	might have	might have		washed				を	洗（あら）	っ	たかもしれなかった
	might not have	might not have	might not have		washed				を	洗（あら）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	wash				を	洗（あら）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	wash				を	洗（あら）	う	ことはできなかったかもしれなかった
