step-1	wipe	wipes	wipe						を	拭（ふ）	く
	have	has	have		wiped		already	すでに	を	拭（ふ）	い	ている
	have	has	have	not	wiped		yet	まだ	を	拭（ふ）	い	ていない
	had	had	had		wiped		before that	それ以前（いぜん）	を	拭（ふ）	い	たことがあった
	had	had	had	not	wiped		before that	それ以前（いぜん）	を	拭（ふ）	い	たことはなかった
	had	had	had	been	wiping		till then	それまでずっと	を	拭（ふ）	い	ていた
	had	had	had	not been	wiping		till then	それまでずっと	を	拭（ふ）	い	ていなかった
	had	had	had		wiped		already	すでに	を	拭（ふ）	い	ていた
	had	had	had	not	wiped		yet	まだ	を	拭（ふ）	い	ていなかった
	have	has	have	been able to	wipe			（ずっと）	を	拭（ふ）	く	ことができている
	have	has	have	not been able to	wipe		yet	まだ	を	拭（ふ）	く	ことはできていない
	had	had	had	been able to	wipe		till then	それまでずっと	を	拭（ふ）	く	ことができていた
	had	had	had	not been able to	wipe		till then	それまでずっと	を	拭（ふ）	く	ことはできていなかった
step-5	may have	may have	may have		wiped				を	拭（ふ）	い	たかもしれない
	may not have	may not have	may not have		wiped				を	拭（ふ）	か	なかったかもしれない
	may have	may have	may have	been able to	wipe				を	拭（ふ）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	wipe				を	拭（ふ）	く	ことはできなかったかもしれない
	must have	must have	must have		wiped				を	拭（ふ）	い	たにちがいない
	must not have	must not have	must not have		wiped				を	拭（ふ）	か	なかったにちがいない
	must have	must have	must have	been able to	wipe				を	拭（ふ）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	wipe				を	拭（ふ）	く	ことはできなかったにちがいない
	should have	should have	should have		wiped				を	拭（ふ）	く	ほうがよかった
	should not have	should not have	should not have		wiped				を	拭（ふ）	か	ないほうがよかった
	should have	should have	should have	been able to	wipe				を	拭（ふ）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	wipe				を	拭（ふ）	く	ことはできないほうがよかった
	can not have	can not have	can not have		wiped				を	拭（ふ）	い	たはずがない
step-6	would	would	would		wipe				を	拭（ふ）	い	ただろう
	would	would	would	not	wipe				を	拭（ふ）	か	なかっただろう
	would	would	would	be able to	wipe				を	拭（ふ）	く	ことができただろう
	would	would	would	not be able to	wipe				を	拭（ふ）	く	ことはできなかっただろう
	would have	would have	would have		wiped				を	拭（ふ）	い	たことだろう
	would not have	would not have	would not have		wiped				を	拭（ふ）	か	なかったことだろう
	would have	would have	would have	been able to	wipe				を	拭（ふ）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	wipe				を	拭（ふ）	く	ことはできなかったことだろう
	could have	could have	could have		wiped				を	拭（ふ）	い	た可能性がある
	could not have	could not have	could not have		wiped				を	拭（ふ）	い	た可能性はない
	might have	might have	might have		wiped				を	拭（ふ）	い	たかもしれなかった
	might not have	might not have	might not have		wiped				を	拭（ふ）	か	なかったかもしれなかった
	might have	might have	might have	been able to	wipe				を	拭（ふ）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	wipe				を	拭（ふ）	く	ことはできなかったかもしれなかった
