	will	will	will	have to	spend	on			に	【お金（かね）】を使（つか）	わ	なければいけないだろう
	will	will	will	not have to	spend	on			に	【お金（かね）】を使（つか）	わ	なくてもいいだろう
	will	will	will	have to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていなければいけないだろう
	will	will	will	not have to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていなくてもいいだろう
	will	will	will	have to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができなければいけないだろう
	will	will	will	not have to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなくてもいいだろう
	may	may	may	have to	spend	on			に	【お金（かね）】を使（つか）	わ	なければいけないかもしれない
	may	may	may	not have to	spend	on			に	【お金（かね）】を使（つか）	わ	なくてもいいかもしれない
	may	may	may	have to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていなければいけないかもしれない
	may	may	may	not have to be	spending	on			に	【お金（かね）】を使（つか）	っ	ていなくてもいいかもしれない
	may	may	may	have to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができなければいけないかもしれない
	may	may	may	not have to be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなくてもいいかもしれない
step-4	have	has	have		spent	on			に	【お金（かね）】を使（つか）	っ	たことがある
	have	has	have	not	spent	on			に	【お金（かね）】を使（つか）	っ	たことはない
	have	has	have	been	spending	on		（ずっと）	に	【お金（かね）】を使（つか）	っ	ている
	have	has	have	not been	spending	on		（ずっと）	に	【お金（かね）】を使（つか）	っ	ていない
	have	has	have		spent	on	already	すでに	に	【お金（かね）】を使（つか）	っ	ている
	have	has	have	not	spent	on	yet	まだ	に	【お金（かね）】を使（つか）	っ	ていない
	had	had	had		spent	on	before that	それ以前（いぜん）	に	【お金（かね）】を使（つか）	っ	たことがあった
	had	had	had	not	spent	on	before that	それ以前（いぜん）	に	【お金（かね）】を使（つか）	っ	たことはなかった
	had	had	had	been	spending	on	till then	それまでずっと	に	【お金（かね）】を使（つか）	っ	ていた
	had	had	had	not been	spending	on	till then	それまでずっと	に	【お金（かね）】を使（つか）	っ	ていなかった
	had	had	had		spent	on	already	すでに	に	【お金（かね）】を使（つか）	っ	ていた
	had	had	had	not	spent	on	yet	まだ	に	【お金（かね）】を使（つか）	っ	ていなかった
	have	has	have	been able to	spend	on		（ずっと）	に	【お金（かね）】を使（つか）	う	ことができている
	have	has	have	not been able to	spend	on	yet	まだ	に	【お金（かね）】を使（つか）	う	ことはできていない
	had	had	had	been able to	spend	on	till then	それまでずっと	に	【お金（かね）】を使（つか）	う	ことができていた
	had	had	had	not been able to	spend	on	till then	それまでずっと	に	【お金（かね）】を使（つか）	う	ことはできていなかった
step-5	may have	may have	may have		spent	on			に	【お金（かね）】を使（つか）	っ	たかもしれない
	may not have	may not have	may not have		spent	on			に	【お金（かね）】を使（つか）	わ	なかったかもしれない
	may have	may have	may have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなかったかもしれない
	must have	must have	must have		spent	on			に	【お金（かね）】を使（つか）	っ	たにちがいない
	must not have	must not have	must not have		spent	on			に	【お金（かね）】を使（つか）	わ	なかったにちがいない
	must have	must have	must have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなかったにちがいない
	should have	should have	should have		spent	on			に	【お金（かね）】を使（つか）	う	ほうがよかった
	should not have	should not have	should not have		spent	on			に	【お金（かね）】を使（つか）	わ	ないほうがよかった
	should have	should have	should have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなかったはずだ
	can not have	can not have	can not have		spent	on			に	【お金（かね）】を使（つか）	っ	たはずがない
step-6	would	would	would		spend	on			に	【お金（かね）】を使（つか）	っ	ただろう
	would	would	would	not	spend	on			に	【お金（かね）】を使（つか）	わ	なかっただろう
	would	would	would	be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができただろう
	would	would	would	not be able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなかっただろう
	would have	would have	would have		spent	on			に	【お金（かね）】を使（つか）	っ	たことだろう
	would not have	would not have	would not have		spent	on			に	【お金（かね）】を使（つか）	わ	なかったことだろう
	would have	would have	would have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなかったことだろう
	could have	could have	could have		spent	on			に	【お金（かね）】を使（つか）	っ	た可能性がある
	could not have	could not have	could not have		spent	on			に	【お金（かね）】を使（つか）	っ	た可能性はない
	might have	might have	might have		spent	on			に	【お金（かね）】を使（つか）	っ	たかもしれなかった
	might not have	might not have	might not have		spent	on			に	【お金（かね）】を使（つか）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	spend	on			に	【お金（かね）】を使（つか）	う	ことはできなかったかもしれなかった
