0,0,0,0,0,0,0,0,0
1,1,1,1,61911,53881,53881,53882,0
2,1,1,1,60508,31903,31903,31905,0
3,1,1,1,60591,35126,35126,35127,0
4,1,1,1,61366,39341,39341,39339,0
5,1,1,1,60730,35228,35228,35289,0
6,1,1,1,61415,39415,39415,39416,0
7,1,1,1,61556,39655,39655,39657,0
8,1,1,1,59117,4312,4312,4313,0
9,1,1,1,59276,5489,5489,5490,0
10,1,1,1,61322,39271,39271,39273,0
11,1,1,1,61004,35711,35711,35713,0
12,1,1,1,61084,35830,35830,35832,0
13,1,1,1,61331,39284,39284,39285,0
14,1,1,1,59960,13981,13981,13983,0
15,1,1,1,59977,14009,14009,14006,0
16,1,1,1,59218,5408,5408,5409,0
17,1,1,1,61315,39265,39265,39267,0
18,1,1,1,61260,39188,39188,39189,0
19,1,1,1,60440,25590,25590,25592,0
20,1,1,1,61750,35357,35358,35360,0
21,1,1,1,60681,39848,39849,39850,0
22,1,1,1,60198,23370,23370,23371,0
23,1,1,1,59978,14009,14009,14006,0
24,1,1,1,60214,6706,6709,6723,0
25,1,1,1,60215,6706,6710,6724,0
26,1,1,1,61085,35830,35830,35832,0
27,1,1,1,61751,23274,23275,17500,0
28,1,1,1,60624,35573,35575,35587,0
29,1,1,1,61754,4376,5543,5551,0
30,1,1,1,60223,23409,23409,23411,0
31,1,1,1,60002,17483,17483,17486,0
32,1,1,1,61455,39476,39476,39477,0
33,1,1,1,60720,35271,35271,35273,0
34,1,1,1,60132,23286,23286,23288,0
35,1,1,1,61580,39761,39591,39621,0
36,1,1,1,61579,39761,39590,39620,0
37,1,1,1,59163,5321,5321,5322,0
38,1,1,1,58796,13848,13880,13884,0
39,1,1,1,61266,39199,39199,39200,0
40,1,1,1,60265,25309,25309,25310,0
41,1,1,1,60254,25291,25291,25292,0
42,1,1,1,59921,45685,13925,13914,0
43,1,1,1,61295,39230,39230,39232,0
44,1,1,1,61286,39225,39225,39228,0
45,1,1,1,61439,39455,39455,39458,0
46,1,1,1,61300,39245,39245,39247,0
47,1,1,1,59221,5414,5414,5416,0
48,1,1,1,59219,5413,5413,5415,0
49,1,1,1,61631,39739,39739,39740,0
50,1,1,1,58795,39761,39580,39610,0
51,1,1,1,59121,4318,4318,4322,0
52,1,1,1,59922,45686,13926,13915,0
53,1,1,1,60991,35691,35691,35693,0
54,1,1,1,61005,35711,35711,35713,0
55,1,1,1,60491,30627,30627,30629,0
