0,0
1,61879
2,61664
3,59858
4,59845
5,60225
6,60640
7,58952
8,60641
9,59858
10,61666
11,61748
12,59857
13,59918
14,59315
15,59919
16,59316
17,61660
18,61610
19,58825
20,58873
21,59589
22,59621
23,61609
24,61878
25,61622
26,59148
27,58953
28,58919
29,59013
30,58847
31,61744
32,61659
33,60161
34,58937
35,58938
36,59846
37,60158
38,59012
39,60160
40,60162
41,60159
42,59018
43,59029
44,60637
45,60636
46,59147
47,60562
48,58920
49,58965
50,59766
51,60227
52,60228
53,60645
54,60642
55,60643
56,60644
57,58805
58,61723
59,59026
60,59032
61,58882
62,58804
63,60226
64,59845
65,59844
66,61665
67,60357
68,67660
69,67661
70,67662
71,67663
72,67664
73,67665
74,67666
75,67667
76,67668
77,67669
78,67670
79,67671
80,67672
81,67673
82,67674
83,67675
84,67676
85,67677
86,67678
87,67679
88,67680
89,67681
90,67682
91,67742
92,67743
93,67744
94,67745
95,67746
96,67747
97,67748
98,67749
99,67750
100,67751
101,67752
102,67753
103,67754
104,67755
105,67756
106,67757
107,67758
108,67759
109,67760
110,67761
111,67762
112,67763
113,67764
114,67765
115,67766
116,67767
117,67768
118,67769
119,67770
120,67771
